
---------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |       Lower level       |       Upper level       |Type|
          |          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-------------------------|-------------------------|    |
          |           Vac (nm)  |       |           |      |                                   | Conf.            | Term | Conf.            | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F V       |           108.231   |    60 |           |      |                                   |                  |      |                  |      |    |
F V       |           108.839   |    70 |           |      |                                   |                  |      |                  |      |    |
F II      |           112.976   |    40 |           |      |                                   |                  |      |                  |      |    |
F III     |           121.903   |    80 |           |      |                                   |                  |      |                  |      |    |
F III     |           126.687   |    80 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           126.771   |    90 |           |      |                                   |                  |      |                  |      |    |
F III     |           129.754   |    70 |           |      |                                   |                  |      |                  |      |    |
F II      |           132.706   |    40 |           |      |                                   |                  |      |                  |      |    |
F II      |           132.811   |    50 |           |      |                                   |                  |      |                  |      |    |
F II      |           133.359   |    40 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F II      |           134.360   |    50 |           |      |                                   |                  |      |                  |      |    |
F II      |           134.404   |    40 |           |      |                                   |                  |      |                  |      |    |
F III     |           135.992   |    70 |           |      |                                   |                  |      |                  |      |    |
F II      |           140.061   |    50 |           |      |                                   |                  |      |                  |      |    |
F II      |           140.714   |    40 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F II      |           149.309   |    60 |           |      |                                   |                  |      |                  |      |    |
F II      |           149.324   |    50 |           |      |                                   |                  |      |                  |      |    |
F II      |           149.331   |    40 |           |      |                                   |                  |      |                  |      |    |
F III     |           149.893   |   110 |           |      |                                   |                  |      |                  |      |    |
F III     |           150.201   |   120 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           150.418   |   110 |           |      |                                   |                  |      |                  |      |    |
F III     |           150.479   |   140 |           |      |                                   |                  |      |                  |      |    |
F III     |           150.630   |   130 |           |      |                                   |                  |      |                  |      |    |
F III     |           150.677   |   110 |           |      |                                   |                  |      |                  |      |    |
F III     |           155.302   |   100 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           155.759   |   110 |           |      |                                   |                  |      |                  |      |    |
F III     |           156.373   |   100 |           |      |                                   |                  |      |                  |      |    |
F III     |           156.554   |   100 |           |      |                                   |                  |      |                  |      |    |
F III     |           162.340   |   100 |           |      |                                   |                  |      |                  |      |    |
F III     |           165.076   |   100 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           167.039   |   130 |           |      |                                   |                  |      |                  |      |    |
F III     |           167.740   |   140 |           |      |                                   |                  |      |                  |      |    |
F II      |           170.213   |    40 |           |      |                                   |                  |      |                  |      |    |
F III     |           171.699   |   100 |           |      |                                   |                  |      |                  |      |    |
