
--------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level       |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------|------------------------|    |
           Air (nm)  |       |           |      |                                   | Conf.           | Term | Conf.           | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |                 |      |                 |      |    |
            359.410  |     6 |           |      |                                   |                 |      |                 |      |    |
            366.817  |    12 |           |      |                                   |                 |      |                 |      |    |
            389.848  |     5 |           |      |                                   |                 |      |                 |      |    |
            393.069  |     8 |           |      |                                   |                 |      |                 |      |    |
            393.426  |     5 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            394.856  |     5 |           |      |                                   |                 |      |                 |      |    |
            496.065  |     6 |           |      |                                   |                 |      |                 |      |    |
            523.041  |    15 |           |      |                                   |                 |      |                 |      |    |
            527.901  |    12 |           |      |                                   |                 |      |                 |      |    |
            554.052  |    18 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            555.243  |    12 |           |      |                                   |                 |      |                 |      |    |
            557.733  |    10 |           |      |                                   |                 |      |                 |      |    |
            562.406  |    20 |           |      |                                   |                 |      |                 |      |    |
            562.693  |    12 |           |      |                                   |                 |      |                 |      |    |
            565.915  |    15 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            566.753  |    40 |           |      |                                   |                 |      |                 |      |    |
            567.167  |    90 |           |      |                                   |                 |      |                 |      |    |
            568.914  |    18 |           |      |                                   |                 |      |                 |      |    |
            570.082  |    25 |           |      |                                   |                 |      |                 |      |    |
            570.731  |    25 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            595.015  |    12 |           |      |                                   |                 |      |                 |      |    |
            595.919  |    25 |           |      |                                   |                 |      |                 |      |    |
            596.528  |    70 |           |      |                                   |                 |      |                 |      |    |
            599.443  |    50 |           |      |                                   |                 |      |                 |      |    |
            601.583  |   150 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            603.804  |    80 |           |      |                                   |                 |      |                 |      |    |
            604.754  |   900 |           |      |                                   |                 |      |                 |      |    |
            608.011  |   100 |           |      |                                   |                 |      |                 |      |    |
            614.976  |   800 |           |      |                                   |                 |      |                 |      |    |
            621.087  |   400 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            623.965  | 13000 | 2.9e+07   | D    |    12.696689    -     14.683178   | 2s2.2p4.(3P).3s | 4P   | 2s2.2p4.(3P).3p | 4S*  |    |
            634.851  | 10000 | 1.8e+07   | D    |    12.730751    -     14.683178   | 2s2.2p4.(3P).3s | 4P   | 2s2.2p4.(3P).3p | 4S*  |    |
            641.365  |  8000 | 9.0e+06   | D    |    12.750582    -     14.683178   | 2s2.2p4.(3P).3s | 4P   | 2s2.2p4.(3P).3p | 4S*  |    |
            656.969  |   450 |           |      |                                   |                 |      |                 |      |    |
            658.039  |   300 |           |      |                                   |                 |      |                 |      |    |
