
--------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level       |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------|------------------------|    |
           Vac (nm)  |       |           |      |                                   | Conf.           | Term | Conf.           | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |                 |      |                 |      |    |
           121.903   |    80 |           |      |                                   |                 |      |                 |      |    |
           126.687   |    80 |           |      |                                   |                 |      |                 |      |    |
           126.771   |    90 |           |      |                                   |                 |      |                 |      |    |
           129.754   |    70 |           |      |                                   |                 |      |                 |      |    |
           135.992   |    70 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
           149.893   |   110 |           |      |                                   |                 |      |                 |      |    |
           150.201   |   120 |           |      |                                   |                 |      |                 |      |    |
           150.418   |   110 |           |      |                                   |                 |      |                 |      |    |
           150.479   |   140 |           |      |                                   |                 |      |                 |      |    |
           150.630   |   130 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
           150.677   |   110 |           |      |                                   |                 |      |                 |      |    |
           155.302   |   100 |           |      |                                   |                 |      |                 |      |    |
           155.759   |   110 |           |      |                                   |                 |      |                 |      |    |
           156.373   |   100 |           |      |                                   |                 |      |                 |      |    |
           156.554   |   100 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
           162.340   |   100 |           |      |                                   |                 |      |                 |      |    |
           165.076   |   100 |           |      |                                   |                 |      |                 |      |    |
           167.039   |   130 |           |      |                                   |                 |      |                 |      |    |
           167.740   |   140 |           |      |                                   |                 |      |                 |      |    |
           171.699   |   100 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
           177.009   |   120 |           |      |                                   |                 |      |                 |      |    |
           177.067   |   150 |           |      |                                   |                 |      |                 |      |    |
           177.293   |   110 |           |      |                                   |                 |      |                 |      |    |
           177.336   |   140 |           |      |                                   |                 |      |                 |      |    |
           179.165   |   160 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
           180.303   |   110 |           |      |                                   |                 |      |                 |      |    |
           180.470   |   100 |           |      |                                   |                 |      |                 |      |    |
           180.590   |   170 |           |      |                                   |                 |      |                 |      |    |
           183.930   |   110 |           |      |                                   |                 |      |                 |      |    |
           183.997   |   120 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
           184.014   |   110 |           |      |                                   |                 |      |                 |      |    |
           190.076   |    80 |           |      |                                   |                 |      |                 |      |    |
--------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level       |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------|------------------------|    |
           Air (nm)  |       |           |      |                                   | Conf.           | Term | Conf.           | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |                 |      |                 |      |    |
           202.744   |   100 |           |      |                                   |                 |      |                 |      |    |
