
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |      Rel. |    Aki    | Acc. |          Ei           Ek           |          Lower level          |           Upper level            |Type|
              Wavelength |      Int. |    s^-1   |      |         (eV)         (eV)          |-------------------------------|----------------------------------|    |
               Vac (nm)  |           |           |      |                                    | Conf.                 | Term  | Conf.                 | Term     |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
                         |           |           |      |                                    |                       |       |                       |          |    |
             170.4320    |         4 |           |      |    0.000000     -     7.2747054    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
             170.4845    |       1bl |           |      |    0.0872857    -     7.3597262    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
             170.9944    |         1 |           |      |    0.000000     -     7.2507569    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5F*      |    |
             171.0216    |         1 |           |      |    0.1101143    -     7.3597262    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
             171.2289    |         3 |           |      |    0.0872857    -     7.3281224    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
                         |           |           |      |                                    |                       |       |                       |          |    |
             171.2852    |         0 |           |      |    0.1212657    -     7.3597262    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
             171.6486    |         4 |           |      |    0.0515691    -     7.2747054    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
             171.7703    |         1 |           |      |    0.1101143    -     7.3281224    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
             171.8148    |         2 |           |      |    0.0872857    -     7.3034273    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5F*      |    |
             171.9777    |         6 |           |      |    0.000000     -     7.2093097    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5F*      |    |
                         |           |           |      |                                    |                       |       |                       |          |    |
             172.1484    |         1 |           |      |    0.1101143    -     7.3122780    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5F*      |    |
             172.2195    |       4bl |           |      |    0.0515691    -     7.2507569    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5F*      |    |
             172.2542    |         3 |           |      |    0.0872857    -     7.2850171    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5F*      |    |
             172.3141    |         4 |           |      |    0.000000     -     7.1952374    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5D*      |    |
             172.5011    |       0d? |           |      |    0.0872857    -     7.2747054    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5P*      |    |
                         |           |           |      |                                    |                       |       |                       |          |    |
             172.6678    |         3 |           |      |    0.0515691    -     7.2320684    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5D*      |    |
             172.9616    |       1bl |           |      |    0.0872857    -     7.2555553    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5D*      |    |
             173.1184    |         6 |           |      |    0.000000     -     7.1618011    | 3d6.4s2               | a 5D  | 3d6.4s.(4D).5p        | 5D*      |    |
