
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |              Rel. |    Aki    | Acc. |            Ei           Ek            |          Lower level          |          Upper level           |Type|
               Wavelength |              Int. |    s^-1   |      |           (eV)         (eV)           |-------------------------------|--------------------------------|    |
                Vac (nm)  |                   |           |      |                                       | Conf.                 | Term  | Conf.                 | Term   |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |                   |           |      |                                       |                       |       |                       |        |    |
              100.7426    |    5000bl(Fe II)* |           |      |     1.04046982    -     13.3475908    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 4D*    |    |
              100.7426    |    5000bl(Fe II)* |           |      |     0.98633376    -     13.2933191    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 6F*    |    |
              100.7979    |              8000 |           |      |     0.98633376    -     13.2866261    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 4P*    |    |
              100.9608    |              2800 |           |      |     1.07624114    -     13.3566851    | 3d6.(5D).4s           | a 4D  | 3d5.(2D3).4s.4p.(3P*) | 2D*    |    |
              101.0307    |    2900bl(Fe II)* |           |      |     1.09686134    -     13.3688361    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 6P*    |    |
                          |                   |           |      |                                       |                       |       |                       |        |    |
              101.0307    |    2900bl(Fe II)* |           |      |     1.04046982    -     13.3123917    | 3d6.(5D).4s           | a 4D  | 3d5.(2D1).4s.4p.(3P*) | 4D*    |    |
              101.1039    |             10000 |           |      |     0.98633376    -     13.2493997    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 4D*    |    |
              101.1209    |              3400 |           |      |     1.07624114    -     13.3372622    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 6F*    |    |
              101.1228    |              3000 |           |      |     1.09686134    -     13.3576008    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 4F*    |    |
              101.1687    |              7000 |           |      |     1.07624114    -     13.3314235    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 6P*    |    |
                          |                   |           |      |                                       |                       |       |                       |        |    |
              101.2413    |   17000bl(Fe II)* |           |      |     1.07624114    -     13.3226659    | 3d6.(5D).4s           | a 4D  | 3d5.(2D3).4s.4p.(3P*) | 4D*    |    |
              101.2413    |   17000bl(Fe II)* |           |      |     1.04046982    -     13.2868603    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 4F*    |    |
              101.2574    |              1900 |           |      |     1.09686134    -     13.3413348    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 6F*    |    |
              101.2619    |             19000 |           |      |     0.98633376    -     13.2302302    | 3d6.(5D).4s           | a 4D  | 3d6.(5D).6p           | 4F*    |    |
              101.7743    |             20000 |           |      |     1.96448596    -     14.1468310    | 3d7                   | a 2G  | 3d6.(3G).5p           | 4H*    |    |
                          |                   |           |      |                                       |                       |       |                       |        |    |
              103.4285    |              4000 |           |      |     3.26732656    -     15.2547030    | 3d6.(3H).4s           | b 2H  | 3d6.(3H<6>).4f        | 2[6]*  |    |
