
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           142.573  |    12 |           |      |                     |    |
           143.143  |    13 |           |      |                     |    |
           147.320  |    12 |           |      |                     |    |
           148.953  |    12 |           |      |                     |    |
           149.518  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           152.660  |    13 |           |      |                     |    |
           153.026  |    13 |           |      |                     |    |
           153.263  |    14 |           |      |                     |    |
           153.291  |    13 |           |      |                     |    |
           153.386  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           153.395  |    13 |           |      |                     |    |
           153.658  |    14 |           |      |                     |    |
           153.829  |    12 |           |      |                     |    |
           154.216  |    13 |           |      |                     |    |
           154.270  |    14 |           |      |                     |    |
                    |       |           |      |                     |    |
           154.640  |    12 |           |      |                     |    |
           155.235  |    12 |           |      |                     |    |
           155.271  |    12 |           |      |                     |    |
           156.246  |    12 |           |      |                     |    |
           156.626  |    13 |           |      |                     |    |
                    |       |           |      |                     |    |
           156.827  |    14 |           |      |                     |    |
           157.018  |    12 |           |      |                     |    |
           157.042  |    12 |           |      |                     |    |
           157.124  |    12 |           |      |                     |    |
           157.720  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           157.776  |    12 |           |      |                     |    |
           159.062  |    12 |           |      |                     |    |
           159.151  |    13 |           |      |                     |    |
           159.205  |    13 |           |      |                     |    |
           159.667  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           159.801  |    13 |           |      |                     |    |
           160.050  |    12 |           |      |                     |    |
           160.058  |    13 |           |      |                     |    |
           160.167  |    13 |           |      |                     |    |
           160.208  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           160.318  |    13 |           |      |                     |    |
           160.373  |    13 |           |      |                     |    |
           160.488  |    13 |           |      |                     |    |
           160.568  |    13 |           |      |                     |    |
           160.597  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           160.698  |    13 |           |      |                     |    |
           160.910  |    17 |           |      |                     |    |
           160.983  |    14 |           |      |                     |    |
           161.047  |    13 |           |      |                     |    |
           161.120  |    13 |           |      |                     |    |
                    |       |           |      |                     |    |
           161.364  |    13 |           |      |                     |    |
           161.402  |    15 |           |      |                     |    |
           161.464  |    13 |           |      |                     |    |
           161.500  |    13 |           |      |                     |    |
           161.561  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           161.668  |    16 |           |      |                     |    |
           161.768  |    14 |           |      |                     |    |
           161.902  |    14 |           |      |                     |    |
           162.091  |    12 |           |      |                     |    |
           162.116  |    13 |           |      |                     |    |
                    |       |           |      |                     |    |
           162.157  |    14 |           |      |                     |    |
           162.338  |    13 |           |      |                     |    |
           162.353  |    13 |           |      |                     |    |
           162.647  |    15 |           |      |                     |    |
           162.690  |    14 |           |      |                     |    |
                    |       |           |      |                     |    |
           162.854  |    13 |           |      |                     |    |
           163.018  |    13 |           |      |                     |    |
           163.108  |    17 |           |      |                     |    |
           163.208  |    12 |           |      |                     |    |
           163.240  |    14 |           |      |                     |    |
                    |       |           |      |                     |    |
           163.401  |    13 |           |      |                     |    |
           163.807  |    12 |           |      |                     |    |
           163.830  |    12 |           |      |                     |    |
           163.940  |    14 |           |      |                     |    |
           164.004  |    16 |           |      |                     |    |
                    |       |           |      |                     |    |
           164.016  |    14 |           |      |                     |    |
           164.187  |    15 |           |      |                     |    |
           164.288  |    12 |           |      |                     |    |
           164.709  |    15 |           |      |                     |    |
           165.158  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           165.290  |    15 |           |      |                     |    |
           165.341  |    13 |           |      |                     |    |
           165.611  |    13 |           |      |                     |    |
           165.665  |    15 |           |      |                     |    |
           165.782  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           165.843  |    12 |           |      |                     |    |
           166.010  |    14 |           |      |                     |    |
           166.157  |    12 |           |      |                     |    |
           166.232  |    13 |           |      |                     |    |
           166.252  |    13 |           |      |                     |    |
                    |       |           |      |                     |    |
           166.354  |    13 |           |      |                     |    |
           166.809  |    13 |           |      |                     |    |
           166.961  |    12 |           |      |                     |    |
           167.104  |    14 |           |      |                     |    |
           167.286  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           167.368  |    13 |           |      |                     |    |
           167.566  |    14 |           |      |                     |    |
           167.678  |    12 |           |      |                     |    |
           167.712  |    12 |           |      |                     |    |
           168.136  |    13 |           |      |                     |    |
                    |       |           |      |                     |    |
           168.195  |    12 |           |      |                     |    |
           168.769  |    15 |           |      |                     |    |
           169.888  |    15 |           |      |                     |    |
           170.040  |    12 |           |      |                     |    |
           170.493  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           170.981  |    13 |           |      |                     |    |
           171.141  |    15 |           |      |                     |    |
           171.276  |    14 |           |      |                     |    |
           171.711  |    12 |           |      |                     |    |
           171.790  |    14 |           |      |                     |    |
                    |       |           |      |                     |    |
           171.816  |    14 |           |      |                     |    |
           171.842  |    12 |           |      |                     |    |
           171.946  |    14 |           |      |                     |    |
           172.271  |    14 |           |      |                     |    |
           172.406  |    14 |           |      |                     |    |
                    |       |           |      |                     |    |
           172.426  |    12 |           |      |                     |    |
           172.563  |    16 |           |      |                     |    |
           176.108  |    13 |           |      |                     |    |
           176.492  |    12 |           |      |                     |    |
           176.736  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           179.210  |    13 |           |      |                     |    |
           179.693  |    13 |           |      |                     |    |
           180.532  |    12 |           |      |                     |    |
           182.042  |    12 |           |      |                     |    |
           182.798  |    13 |           |      |                     |    |
                    |       |           |      |                     |    |
           184.024  |    12 |           |      |                     |    |
           186.042  |    12 |           |      |                     |    |
           186.964  |    12 |           |      |                     |    |
           187.423  |    12 |           |      |                     |    |
