
-------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level    |    Upper level    |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-------------------|-------------------|    |
          Vac (nm)  |       |           |      |                                 | Conf.      | Term | Conf.      | Term |    |
-------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                 |            |      |            |      |    |
           184.157  |       |           |      |    50.62462    -     57.35715   | 3s2.3p5.3d | 3P*  | 3s2.3p5.3d | 3D*  | M1 |
           191.721  |       |           |      |    51.28844    -     57.75536   | 3s2.3p5.3d | 3P*  | 3s2.3p5.3d | 1F*  | M1 |
-------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level    |    Upper level    |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-------------------|-------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.      | Term | Conf.      | Term |    |
-------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                 |            |      |            |      |    |
           204.235  |       |           |      |    51.28844    -     57.35715   | 3s2.3p5.3d | 3P*  | 3s2.3p5.3d | 3D*  | M1 |
           249.75   |       |           |      |    52.79368    -     57.75536   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 1F*  | M1 |
           300.0    |       |           |      |    53.22777    -     57.35715   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 3D*  | M1 |
           312.40   |       |           |      |    53.78667    -     57.75536   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 1F*  | M1 |
           335.51   |       |           |      |    52.79368    -     56.48871   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 3D*  | M1 |
                    |       |           |      |                                 |            |      |            |      |    |
           347.16   |       |           |      |    53.78667    -     57.35715   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 3D*  | M1 |
           364.27   |       |           |      |    53.22777    -     56.63011   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 1D*  | M1 |
           380.08   |       |           |      |    53.22777    -     56.48871   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 3D*  | M1 |
           435.94   |       |           |      |    53.78667    -     56.63011   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 1D*  | M1 |
           458.53   |       |           |      |    53.78667    -     56.48871   | 3s2.3p5.3d | 3F*  | 3s2.3p5.3d | 3D*  | M1 |
