
---------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |               Rel. |    Aki    | Acc. |           Ei           Ek          |     Lower level     |     Upper level     |   Type|
            Wavelength |               Int. |    s^-1   |      |          (eV)         (eV)         |---------------------|---------------------|       |
             Vac (nm)  |                    |           |      |                                    | Conf.        | Term | Conf.        | Term |       |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                    |           |      |                                    |              |      |              |      |       |
            100.0140   |               1600 | 4.5e+09   | C+   |    34.476976     -     46.87366    | 3d3.(4P).4p  | 5D*  | 3d3.(4P).4d  | 5F   |       |
            100.0312   |                670 |           |      |    34.566048     -     46.96065    | 3d3.(2G).4p  | 3G*  | 3d3.(2G).4d  | 3G   |       |
            100.0769   |                810 | 9.e+08    | D+   |    35.967668     -     48.35664    | 3d3.(2H).4p  | 1H*  | 3d3.(2H).4d  | 1G   |       |
            100.1181   |                810 | 9.e+08    | D    |    35.034385     -     47.41803    | 3d3.(2G).4p  | 1F*  | 3d3.(2G).4d  | 3F   |       |
            100.1353   |               610* | 1.6e+08   | D    |    32.098456     -     44.48020    | 3d3.(4F).4p  | 5D*  | 3d3.(4F).4d  | 5G   |       |
                       |                    |           |      |                                    |              |      |              |      |       |
            100.1353   |               610* | 1.7e+08   | D    |    35.728155     -     48.10952    | 3d3.(2H).4p  | 3I*  | 3d3.(2H).4d  | 3K   |       |
            100.1451   |               1300 | 4.6e+09   | C+   |    32.719269     -     45.09976    | 3d3.(4F).4p  | 3G*  | 3d3.(4F).4d  | 3H   |       |
            100.1558   |                670 | 8.e+08    | D    |    32.003877     -     44.38298    | 3d3.(4F).4p  | 5D*  | 3d3.(4F).4d  | 5F   |       |
            100.1679   |                400 | 3.4e+08   | D    |    35.297098     -     47.674846   | 3d3.(2H).4p  | 3H*  | 3d3.(2G).4d  | 1G   |       |
            100.1992   |                570 | 6.e+07    | D    |    32.154677     -     44.52848    | 3d3.(4F).4p  | 5D*  | 3d3.(4F).4d  | 5G   |       |
                       |                    |           |      |                                    |              |      |              |      |       |
            100.2111   |                900 | 1.3e+09   | D+   |    38.016366     -     50.38865    | 3d3.(2F).4p  | 3G*  | 3d3.(2F).4d  | 3H   |       |
            100.2170   |                900 | 2.5e+08   | D    |    35.478646     -     47.85021    | 3d3.(2D2).4p | 3F*  | 3d3.(2P).4d  | 3D   |       |
            100.2296   |                530 | 1.6e+08   | D    |    35.034385     -     47.40440    | 3d3.(2G).4p  | 1F*  | 3d3.(2P).4d  | 3F   |       |
            100.2550   |                340 | 1.6e+09   | D+   |    32.072243     -     44.43912    | 3d3.(4F).4p  | 5D*  | 3d3.(4F).4d  | 5F   |       |
            100.2647   |                610 | 4.5e+08   | D    |    35.038529     -     47.40440    | 3d3.(2P).4p  | 1D*  | 3d3.(2P).4d  | 3F   |       |
                       |                    |           |      |                                    |              |      |              |      |       |
            100.2798   |                670 | 1.6e+09   | D+   |    32.003877     -     44.36766    | 3d3.(4F).4p  | 5D*  | 3d3.(4F).4d  | 5P   |       |
            100.2871   |               1200 | 5.1e+09   | C+   |    35.852712     -     48.21564    | 3d3.(2H).4p  | 3I*  | 3d3.(2H).4d  | 3K   |       |
