
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |     Lower level     |            Upper level            |Type|
          |             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |---------------------|-----------------------------------|    |
          |              Vac (nm)  |        |           |      |                                     | Conf.        | Term | Conf.                | Term       |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             100.0532   |    510 |           |      |    40.56261      -     52.95444     | 3d7.(2G).4s  | 1G   | 3d7.(2G).4p          | 1H*        |    |
Ga VI     |             100.1255   |     10 |           |      |    40.46034      -     52.84320     | 3d7.(2P).4s  | 3P   | 3d7.(4P).4p          | 5P*        |    |
Ga VI     |             100.1478   |     80 |           |      |    44.53071      -     56.91077     | 3d7.(2F).4s  | 1F   | 3d7.(2F).4p          | 3F*        |    |
Ga VI     |             100.1821   |    180 |           |      |    47.89222      -     60.26810     | 3d7.(2D1).4s | 3D   | 3d7.(2D1).4p         | 3F*        |    |
Ga VI     |             100.2352   |    100 |           |      |    41.30183      -     53.67086     | 3d7.(2D2).4s | 3D   | 3d7.(2P).4p          | 3D*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga II     |             100.2895   |      2 |           |      |     5.9281943    -     18.290903    | 4s.4p        | 3P*  | 4s.6d                | 3D         |    |
Ga VI     |             100.2986   |    790 |           |      |    37.37099      -     49.73251     | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p          | 3F*        |    |
Ga VI     |             100.3126   | 520bl* |           |      |    41.75016      -     54.10994     | 3d7.(2D2).4s | 3D   | 3d7.(2D2).4p         | 3F*        |    |
Ga VI     |             100.3126   | 520bl* |           |      |    40.34546      -     52.70499     | 3d7.(2P).4s  | 3P   | 3d7.(4P).4p          | 5P*        |    |
Ga VI     |             100.3401   |    140 |           |      |    41.13928      -     53.49581     | 3d7.(2P).4s  | 1P   | 3d7.(2D2).4p         | 3D*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             100.3430   |    150 |           |      |    39.91804      -     52.27412     | 3d7.(2G).4s  | 3G   | 3d7.(2G).4p          | 3H*        |    |
Ga VI     |             100.3679   |    170 |           |      |    41.13928      -     53.49211     | 3d7.(2P).4s  | 1P   | 3d7.(2D2).4p         | 3D*        |    |
Ga IV     |             100.3759   |     90 |           |      |    28.40978      -     40.76150     | 3d9.4p       | 3P*  | 3d9.4d               | 3S         |    |
Ga IV     |             100.4125   |   130* |           |      |    29.12878      -     41.47668     | 3d9.4p       | 3D*  | 3d9.4d               | 3G         |    |
Ga IV     |             100.4125   |   130* |           |      |    29.12878      -     41.47613     | 3d9.4p       | 3D*  | 3d9.4d               | 1G         |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             100.4172   |    850 |           |      |    37.96441      -     50.31133     | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p          | 3G*        |    |
Ga VI     |             100.4364   |    340 |           |      |    44.53071      -     56.87537     | 3d7.(2F).4s  | 1F   | 3d7.(2F).4p          | 3D*        |    |
