
---------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |    Lower level     |        Upper level        |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |--------------------|---------------------------|    |
             Vac (nm)  |       |           |      |                                   | Conf.       | Term | Conf.              | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                   |             |      |                    |      |    |
            104.48     |     a |           |      |    0.000000     -    11.8668      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<2>).11p | 2[2] |    |
            104.57     |    a* |           |      |    0.000000     -    11.8565      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).16p | 2[1] |    |
            104.57     |    a* |           |      |    0.000000     -    11.8565      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).16p | 2[1] |    |
            104.68     |    a* |           |      |    0.000000     -    11.8441      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).15p | 2[1] |    |
            104.68     |    a* |           |      |    0.000000     -    11.8441      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).15p | 2[1] |    |
                       |       |           |      |                                   |             |      |                    |      |    |
            104.797    |    a* |           |      |    0.000000     -    11.83089     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).14p | 2[1] |    |
            104.797    |    a* |           |      |    0.000000     -    11.83089     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).14p | 2[1] |    |
            104.859    |     a |           |      |    0.000000     -    11.82390     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<2>).10p | 2[2] |    |
            104.99     |    a* |           |      |    0.000000     -    11.8091      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<0>).17p | 2[1] |    |
            104.99     |    a* |           |      |    0.000000     -    11.8091      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<0>).17p | 2[1] |    |
                       |       |           |      |                                   |             |      |                    |      |    |
            104.993    |    a* |           |      |    0.000000     -    11.80880     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).13p | 2[1] |    |
            104.993    |    a* |           |      |    0.000000     -    11.80880     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).13p | 2[1] |    |
            105.07     |    a* |           |      |    0.000000     -    11.8002      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<0>).16p | 2[1] |    |
            105.07     |    a* |           |      |    0.000000     -    11.8002      | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<0>).16p | 2[1] |    |
            105.169    |    a* |           |      |    0.000000     -    11.78905     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<0>).15p | 2[1] |    |
                       |       |           |      |                                   |             |      |                    |      |    |
            105.169    |    a* |           |      |    0.000000     -    11.78905     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<0>).15p | 2[1] |    |
            105.169    |    a* |           |      |    0.000000     -    11.78905     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).12p | 2[1] |    |
            105.169    |    a* |           |      |    0.000000     -    11.78905     | 3d10.4s2.4p | 2P*  | 4s.4p.(3P*<1>).12p | 2[1] |    |
