
--------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |   Lower level   |    Upper level     |Type|
             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-----------------|--------------------|    |
              Vac (nm)  |       |           |      |                                     | Conf.    | Term | Conf.  | Term      |    |
--------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                     |          |      |        |           |    |
             100.2895   |     2 |           |      |     5.9281943    -     18.290903    | 4s.4p    | 3P*  | 4s.6d  | 3D        |    |
             101.2299   |     2 |           |      |     6.044211     -     18.2919932   | 4s.4p    | 3P*  | 4s.6d  | 3D        |    |
             101.910    |     3 |           |      |     5.872827     -     18.0389816   | 4s.4p    | 3P*  | 4s.7s  | 3S        |    |
             102.3735   |     0 |           |      |     5.9281943    -     18.0389816   | 4s.4p    | 3P*  | 4s.7s  | 3S        |    |
             103.3663   |     0 |           |      |     6.044211     -     18.0389816   | 4s.4p    | 3P*  | 4s.7s  | 3S        |    |
                        |       |           |      |                                     |          |      |        |           |    |
             111.3708   |     4 |           |      |     5.872827     -     17.0053649   | 4s.4p    | 3P*  | 4s.5d  | 3D        |    |
             111.9133   |     4 |           |      |     5.9281943    -     17.0067372   | 4s.4p    | 3P*  | 4s.5d  | 3D        |    |
             111.9270   |     2 |           |      |     5.9281943    -     17.0053649   | 4s.4p    | 3P*  | 4s.5d  | 3D        |    |
             113.0760   |     6 |           |      |     6.044211     -     17.0088293   | 4s.4p    | 3P*  | 4s.5d  | 3D        |    |
             113.0979   |     3 |           |      |     6.044211     -     17.0067372   | 4s.4p    | 3P*  | 4s.5d  | 3D        |    |
                        |       |           |      |                                     |          |      |        |           |    |
             116.7639   |     3 |           |      |     5.872827     -     16.491175    | 4s.4p    | 3P*  | 4s.6s  | 3S        |    |
             117.3761   |     6 |           |      |     5.9281943    -     16.491175    | 4s.4p    | 3P*  | 4s.6s  | 3S        |    |
             118.6795   |     6 |           |      |     6.044211     -     16.491175    | 4s.4p    | 3P*  | 4s.6s  | 3S        |    |
             120.7521   |     2 |           |      |     8.7658594    -     19.0335210   | 4s.4p    | 1P*  | 4s.7d  | 1D        |    |
             122.7022   |     0 |           |      |     8.7658594    -     18.8705015   | 4s.4p    | 1P*  | 4s.8s  | 1S        |    |
                        |       |           |      |                                     |          |      |        |           |    |
             128.6256   |     6 |           |      |     8.7658594    -     18.4050479   | 4s.4p    | 1P*  | 4s.6d  | 1D        |    |
             129.1362   |     2 |           |      |     6.044211     -     15.645269    | 4s.4p    | 3P*  | 4s.4d  | 1D        |    |
             132.7635   |     1 |           |      |     8.7658594    -     18.1046182   | 4s.4p    | 1P*  | 4s.7s  | 1S        |    |
             141.4401   |    21 | 1.97e+09  |      |     0.000000     -      8.7658594   | 3d10.4s2 | 1S   | 4s.4p  | 1P*       |    |
             144.9234   |    11 |           |      |     8.7658594    -     17.3210185   | 4s.4p    | 1P*  | 4s.5d  | 1D        |    |
                        |       |           |      |                                     |          |      |        |           |    |
             146.3578   |    15 |           |      |     5.9281943    -     14.399512    | 4s.4p    | 3P*  | 4p2    | 3P        |    |
