
------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level  |     Upper level     |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |---------------|---------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.  | Term | Conf.  | Term       |    |
------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |        |      |        |            |    |
           100.3759  |    90 |           |      |    28.40978    -     40.76150   | 3d9.4p | 3P*  | 3d9.4d | 3S         |    |
           100.4125  |  130* |           |      |    29.12878    -     41.47668   | 3d9.4p | 3D*  | 3d9.4d | 3G         |    |
           100.4125  |  130* |           |      |    29.12878    -     41.47613   | 3d9.4p | 3D*  | 3d9.4d | 1G         |    |
           100.4365  |   120 |           |      |    28.91216    -     41.25667   | 3d9.4p | 1F*  | 3d9.4d | 3P         |    |
           100.4639  |    90 |           |      |    28.91216    -     41.25332   | 3d9.4p | 1F*  | 3d9.4d | 3G         |    |
                     |       |           |      |                                 |        |      |        |            |    |
           100.5264  |    80 |           |      |    29.44104    -     41.77447   | 3d9.4p | 3D*  | 3d9.4d | 3D         |    |
           100.8837  |   100 |           |      |    29.44104    -     41.73080   | 3d9.4p | 3D*  | 3d9.4d | 1F         |    |
           101.0789  |    15 |           |      |    28.99057    -     41.25667   | 3d9.4p | 1D*  | 3d9.4d | 3P         |    |
           101.1247  |   110 |           |      |    29.29894    -     41.55941   | 3d9.4p | 1P*  | 3d9.4d | 3P         |    |
           101.2925  |     2 |           |      |    28.52132    -     40.76150   | 3d9.4p | 3F*  | 3d9.4d | 3S         |    |
                     |       |           |      |                                 |        |      |        |            |    |
           101.4848  |   150 |           |      |    29.29894    -     41.51627   | 3d9.4p | 1P*  | 3d9.4d | 3D         |    |
           101.7366  |   100 |           |      |    29.37266    -     41.55941   | 3d9.4p | 3D*  | 3d9.4d | 3P         |    |
           102.0983  |    40 |           |      |    29.37266    -     41.51627   | 3d9.4p | 3D*  | 3d9.4d | 3D         |    |
           102.2289  |   120 |           |      |    29.12878    -     41.25667   | 3d9.4p | 3D*  | 3d9.4d | 3P         |    |
           102.2586  |     7 |           |      |    29.12878    -     41.25332   | 3d9.4p | 3D*  | 3d9.4d | 3G         |    |
                     |       |           |      |                                 |        |      |        |            |    |
           102.3104  |   100 |           |      |    29.44104    -     41.55941   | 3d9.4p | 3D*  | 3d9.4d | 3P         |    |
           102.5646  |    60 |           |      |    29.37266    -     41.46072   | 3d9.4p | 3D*  | 3d9.4d | 3P         |    |
           102.6768  |    80 |           |      |    29.44104    -     41.51627   | 3d9.4p | 3D*  | 3d9.4d | 3D         |    |
           103.6108  |   100 |           |      |    29.29894    -     41.26526   | 3d9.4p | 1P*  | 3d9.4d | 1P         |    |
           104.2531  |    70 |           |      |    29.37266    -     41.26526   | 3d9.4p | 3D*  | 3d9.4d | 1P         |    |
                     |       |           |      |                                 |        |      |        |            |    |
           104.3301  |     1 |           |      |    29.37266    -     41.25667   | 3d9.4p | 3D*  | 3d9.4d | 3P         |    |
           104.8565  |     3 |           |      |    29.44104    -     41.26526   | 3d9.4p | 3D*  | 3d9.4d | 1P         |    |
