
-------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek        |    Lower level     |    Upper level     |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)       |--------------------|--------------------|    |
          Vac (nm)  |       |           |      |                               | Conf.       | Term | Conf.       | Term |    |
-------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                               |             |      |             |      |    |
           101.447  |    90 |           |      |    30.5116    -     42.7334   | 3d8.(1G).4s | 2G   | 3d8.(1G).4p | 2G*  |    |
           101.485  |    15 |           |      |    30.5166    -     42.7334   | 3d8.(1G).4s | 2G   | 3d8.(1G).4p | 2G*  |    |
           101.562  |    20 |           |      |    28.7285    -     40.9364   | 3d8.(1D).4s | 2D   | 3d8.(3P).4p | 4D*  |    |
           101.971  |    90 |           |      |    30.5166    -     42.675    | 3d8.(1G).4s | 2G   | 3d8.(1G).4p | 2G*  |    |
           102.198  |    10 |           |      |    26.6860    -     38.8180   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 2F*  |    |
                    |       |           |      |                               |             |      |             |      |    |
           103.238  |    10 |           |      |    29.2118    -     41.2214   | 3d8.(3P).4s | 4P   | 3d8.(3P).4p | 2D*  |    |
           103.355  |    20 |           |      |    26.6860    -     38.6820   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 2D*  |    |
           103.876  |    30 |           |      |    26.53      -     38.4682   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 2F*  |    |
           104.020  |     5 |           |      |    28.8843    -     40.8036   | 3d8.(1D).4s | 2D   | 3d8.(3P).4p | 4D*  |    |
           104.580  |    15 |           |      |    26.2997    -     38.1555   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 4F*  |    |
                    |       |           |      |                               |             |      |             |      |    |
           104.750  |    30 |           |      |    30.0074    -     41.8435   | 3d8.(3P).4s | 2P   | 3d8.(3P).4p | 2S*  |    |
           105.048  |   120 |           |      |    26.0431    -     37.8461   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 4F*  |    |
           105.456  |    80 |           |      |    26.2997    -     38.0566   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 2G*  |    |
           105.812  |    90 |           |      |    26.2997    -     38.0170   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 4F*  |    |
           106.266  |    80 |           |      |    29.2692    -     40.9364   | 3d8.(3P).4s | 4P   | 3d8.(3P).4p | 4D*  |    |
                    |       |           |      |                               |             |      |             |      |    |
           106.381  |    10 |           |      |    28.7285    -     40.3833   | 3d8.(1D).4s | 2D   | 3d8.(1D).4p | 2D*  |    |
           106.537  |     5 |           |      |    26.53      -     38.1703   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 4F*  |    |
           106.669  |    80 |           |      |    26.53      -     38.1555   | 3d8.(3F).4s | 4F   | 3d8.(3F).4p | 4F*  |    |
           106.859  |    35 |           |      |    28.8843    -     40.4869   | 3d8.(1D).4s | 2D   | 3d8.(1D).4p | 2P*  |    |
           106.945  |    30 |           |      |    29.2118    -     40.8047   | 3d8.(3P).4s | 4P   | 3d8.(3P).4p | 4D*  |    |
