
-------------------------------------------------------------------------------------------------------------------------------------
           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |     Lower level     |     Upper level     |Type|
          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |---------------------|---------------------|    |
           Vac (nm)  |        |           |      |                                 | Conf.        | Term | Conf.        | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------
                     |        |           |      |                                 |              |      |              |      |    |
           100.0532  |    510 |           |      |    40.56261    -     52.95444   | 3d7.(2G).4s  | 1G   | 3d7.(2G).4p  | 1H*  |    |
           100.1255  |     10 |           |      |    40.46034    -     52.84320   | 3d7.(2P).4s  | 3P   | 3d7.(4P).4p  | 5P*  |    |
           100.1478  |     80 |           |      |    44.53071    -     56.91077   | 3d7.(2F).4s  | 1F   | 3d7.(2F).4p  | 3F*  |    |
           100.1821  |    180 |           |      |    47.89222    -     60.26810   | 3d7.(2D1).4s | 3D   | 3d7.(2D1).4p | 3F*  |    |
           100.2352  |    100 |           |      |    41.30183    -     53.67086   | 3d7.(2D2).4s | 3D   | 3d7.(2P).4p  | 3D*  |    |
                     |        |           |      |                                 |              |      |              |      |    |
           100.2986  |    790 |           |      |    37.37099    -     49.73251   | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p  | 3F*  |    |
           100.3126  | 520bl* |           |      |    41.75016    -     54.10994   | 3d7.(2D2).4s | 3D   | 3d7.(2D2).4p | 3F*  |    |
           100.3126  | 520bl* |           |      |    40.34546    -     52.70499   | 3d7.(2P).4s  | 3P   | 3d7.(4P).4p  | 5P*  |    |
           100.3401  |    140 |           |      |    41.13928    -     53.49581   | 3d7.(2P).4s  | 1P   | 3d7.(2D2).4p | 3D*  |    |
           100.3430  |    150 |           |      |    39.91804    -     52.27412   | 3d7.(2G).4s  | 3G   | 3d7.(2G).4p  | 3H*  |    |
                     |        |           |      |                                 |              |      |              |      |    |
           100.3679  |    170 |           |      |    41.13928    -     53.49211   | 3d7.(2P).4s  | 1P   | 3d7.(2D2).4p | 3D*  |    |
           100.4172  |    850 |           |      |    37.96441    -     50.31133   | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p  | 3G*  |    |
           100.4364  |    340 |           |      |    44.53071    -     56.87537   | 3d7.(2F).4s  | 1F   | 3d7.(2F).4p  | 3D*  |    |
           100.5231  |    470 |           |      |    41.07392    -     53.40785   | 3d7.(2D2).4s | 3D   | 3d7.(2D2).4p | 3D*  |    |
           100.6155  |     40 |           |      |    39.91804    -     52.24060   | 3d7.(2G).4s  | 3G   | 3d7.(4P).4p  | 5D*  |    |
                     |        |           |      |                                 |              |      |              |      |    |
           100.6414  |    950 |           |      |    36.03206    -     48.35169   | 3d7.(4F).4s  | 5F   | 3d7.(4F).4p  | 5F*  |    |
           100.6890  |    780 |           |      |    37.73032    -     50.04385   | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p  | 3G*  |    |
           100.7511  |    480 |           |      |    41.30484    -     53.61083   | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p  | 3G*  |    |
           100.8078  |    320 |           |      |    40.59725    -     52.89622   | 3d7.(4P).4s  | 3P   | 3d7.(4P).4p  | 3D*  |    |
