
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |      Lower level      |            Upper level            |Type|
          |               Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |-----------------------|-----------------------------------|    |
          |                Vac (nm)  |        |           |      |                                       | Conf.          | Term | Conf.                | Term       |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge V      |              100.438     |    300 |           |      |                                       |                |      |                      |            |    |
Ge III    |              101.121     |     15 |           |      |                                       |                |      |                      |            |    |
Ge III    |              101.231     |     10 |           |      |                                       |                |      |                      |            |    |
Ge II     |              101.66381   |    100 | 2.1e+08   |      |     0.2191243     -     12.4146379    | 4s2.4p         | 2P*  | 4s2.5d               | 2D         |    |
Ge V      |              101.666     |    300 |           |      |                                       |                |      |                      |            |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge II     |              101.70592   |     20 | 3.5e+07   |      |     0.2191243     -     12.4095742    | 4s2.4p         | 2P*  | 4s2.5d               | 2D         |    |
Ge III    |              103.262     |      8 |           |      |                                       |                |      |                      |            |    |
Ge V      |              103.840     |    250 |           |      |                                       |                |      |                      |            |    |
Ge III    |              104.099     |     12 |           |      |                                       |                |      |                      |            |    |
Ge V      |              104.571     |    900 |           |      |                                       |                |      |                      |            |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge V      |              105.005     |    400 |           |      |                                       |                |      |                      |            |    |
Ge V      |              105.459     |    300 |           |      |                                       |                |      |                      |            |    |
Ge II     |              105.50252   |     20 | 6.9e+07   |      |     0.000000      -     11.7517650    | 4s2.4p         | 2P*  | 4s2.6s               | 2S         |    |
Ge III    |              105.891     |     12 |           |      |                                       |                |      |                      |            |    |
Ge V      |              106.843     |    300 |           |      |                                       |                |      |                      |            |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge V      |              106.913     |    400 |           |      |                                       |                |      |                      |            |    |
Ge V      |              107.266     |    700 |           |      |                                       |                |      |                      |            |    |
Ge IV     |              107.344     |      1 |           |      |                                       |                |      |                      |            |    |
Ge II     |              107.50715   |    100 | 1.3e+08   |      |     0.2191243     -     11.7517650    | 4s2.4p         | 2P*  | 4s2.6s               | 2S         |    |
Ge II     |              108.5513    |    300 |           |      |     0.000000      -     11.42176      | 4s2.4p         | 2P*  | 4s.4p2               | 2P         |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge V      |              108.665     |    600 |           |      |                                       |                |      |                      |            |    |
Ge V      |              108.785     |    500 |           |      |                                       |                |      |                      |            |    |
Ge III    |              108.845     |     40 |           |      |                                       |                |      |                      |            |    |
Ge V      |              108.949     |    800 |           |      |                                       |                |      |                      |            |    |
Ge V      |              109.209     |    300 |           |      |                                       |                |      |                      |            |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge II     |              109.8710    |    200 |           |      |     0.000000      -     11.28457      | 4s2.4p         | 2P*  | 4s.4p2               | 2P         |    |
Ge II     |              110.6737    |    500 |           |      |     0.2191243     -     11.42176      | 4s2.4p         | 2P*  | 4s.4p2               | 2P         |    |
