
--------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |   Lower level    |            Upper level            |Type|
              Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |------------------|-----------------------------------|    |
               Vac (nm)  |        |           |      |                                     | Conf.     | Term | Conf.                | Term       |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                         |        |           |      |                                     |           |      |                      |            |    |
             161.5571    |     3r |           |      |    0.06907582    -     7.743415     | 4s2.4p2   | 3P   | 4s2.4p.7d            | (3/2,5/2)* |    |
             162.41300   |     2r |           |      |    0.0000000     -     7.633882     | 4s2.4p2   | 3P   | 4s2.4p.8d            | (1/2,3/2)* |    |
             163.0173    |     2r |           |      |    0.0000000     -     7.6055837    | 4s2.4p2   | 3P   | 4s2.4p.8s            | (3/2,1/2)* |    |
             163.6312    |     3r |           |      |    0.17481286    -     7.751861     | 4s2.4p2   | 3P   | 4s2.4p.7d            | (3/2,5/2)* |    |
             163.8958    |      2 |           |      |    0.06907582    -     7.633882     | 4s2.4p2   | 3P   | 4s2.4p.8d            | (1/2,3/2)* |    |
                         |        |           |      |                                     |           |      |                      |            |    |
             163.97300   |     4r |           |      |    0.06907582    -     7.630324     | 4s2.4p2   | 3P   | 4s2.4p.8d            | (1/2,5/2)* |    |
             164.7530    |      2 |           |      |    0.06907582    -     7.594530     | 4s2.4p2   | 3P   | 4s2.4p.8s            | (3/2,1/2)* |    |
             165.1527    |      2 |           |      |    0.0000000     -     7.5072377    | 4s2.4p2   | 3P   | 4s2.4p.6d            | (3/2,3/2)* |    |
             165.1953    |     4r |           |      |    0.06907582    -     7.574378     | 4s2.4p2   | 3P   | 4s2.4p.6d            | (3/2,5/2)* |    |
             166.1344    |      3 |           |      |    0.06907582    -     7.5319552    | 4s2.4p2   | 3P   | 4s2.4p.9s            | (1/2,1/2)* |    |
                         |        |           |      |                                     |           |      |                      |            |    |
             166.35393   |     4r |           |      |    0.17481286    -     7.627846     | 4s2.4p2   | 3P   | 4s2.4p.8d            | (1/2,5/2)* |    |
             166.5275    |    10h |           |      |    0.06907582    -     7.5143437    | 4s2.4p2   | 3P   | 4s2.4p.6d            | (3/2,3/2)* |    |
             166.7799    |      4 |           |      |    0.06907582    -     7.5030656    | 4s2.4p2   | 3P   | 4s2.4p.7d            | (1/2,5/2)* |    |
             167.0606    |     3r |           |      |    0.17481286    -     7.596312     | 4s2.4p2   | 3P   | 4s2.4p.6d            | (3/2,5/2)* |    |
             169.1092    |   100r |           |      |    0.06907582    -     7.4006914    | 4s2.4p2   | 3P   | 4s2.4p.6d            | (1/2,5/2)* |    |
                         |        |           |      |                                     |           |      |                      |            |    |
             171.6781    |   200r |           |      |    0.17481286    -     7.3966975    | 4s2.4p2   | 3P   | 4s2.4p.6d            | (1/2,5/2)* |    |
             173.9102    |   100h |           |      |    0.06907582    -     7.1982817    | 4s2.4p2   | 3P   | 4s2.4p.5d            | 1P*        |    |
             174.2194    |    100 |           |      |    0.0000000     -     7.1165503    | 4s2.4p2   | 3P   | 4s2.4p.5d            | 3P*        |    |
