
-----------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level      |      Upper level      |Type|
             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-----------------------|-----------------------|    |
              Vac (nm)  |       |           |      |                                     | Conf.          | Term | Conf.          | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                     |                |      |                |      |    |
            101.66381   |   100 | 2.1e+08   |      |     0.2191243    -     12.4146379   | 4s2.4p         | 2P*  | 4s2.5d         | 2D   |    |
            101.70592   |    20 | 3.5e+07   |      |     0.2191243    -     12.4095742   | 4s2.4p         | 2P*  | 4s2.5d         | 2D   |    |
            105.50252   |    20 | 6.9e+07   |      |     0.000000     -     11.7517650   | 4s2.4p         | 2P*  | 4s2.6s         | 2S   |    |
            107.50715   |   100 | 1.3e+08   |      |     0.2191243    -     11.7517650   | 4s2.4p         | 2P*  | 4s2.6s         | 2S   |    |
            108.5513    |   300 |           |      |     0.000000     -     11.42176     | 4s2.4p         | 2P*  | 4s.4p2         | 2P   |    |
                        |       |           |      |                                     |                |      |                |      |    |
            109.8710    |   200 |           |      |     0.000000     -     11.28457     | 4s2.4p         | 2P*  | 4s.4p2         | 2P   |    |
            110.6737    |   500 |           |      |     0.2191243    -     11.42176     | 4s2.4p         | 2P*  | 4s.4p2         | 2P   |    |
            112.0458    |   500 |           |      |     0.2191243    -     11.28457     | 4s2.4p         | 2P*  | 4s.4p2         | 2P   |    |
            114.6972    |     3 |           |      |     6.3945945    -     17.20427     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4P*  |    |
            114.9547    |     5 |           |      |     6.3945945    -     17.18012     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4P*  |    |
                        |       |           |      |                                     |                |      |                |      |    |
            115.6462    |    20 |           |      |     6.4832502    -     17.20427     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4P*  |    |
            115.9066    |    15 |           |      |     6.4832502    -     17.18012     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4P*  |    |
            116.4273    |   200 |           |      |     0.000000     -     10.649071    | 4s2.4p         | 2P*  | 4s.4p2         | 2S   |    |
            117.3707    |    10 |           |      |     6.6166319    -     17.18012     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4P*  |    |
            117.8957    |    10 |           |      |     6.6166319    -     17.13307     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4P*  |    |
                        |       |           |      |                                     |                |      |                |      |    |
            118.1194    |   500 |           |      |     6.3945945    -     16.89107     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4D*  |    |
            118.1650    |   500 |           |      |     6.3945945    -     16.88707     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4D*  |    |
            118.8732    |   200 |           |      |     0.2191243    -     10.649071    | 4s2.4p         | 2P*  | 4s.4p2         | 2S   |    |
            118.9623    |   100 |           |      |     6.4832502    -     16.90538     | 4s.4p2         | 4P   | 4s.4p.(3P*).4d | 4D*  |    |
