
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           100.438  |   300 |           |      |                     |    |
           101.666  |   300 |           |      |                     |    |
           103.840  |   250 |           |      |                     |    |
           104.571  |   900 |           |      |                     |    |
           105.005  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           105.459  |   300 |           |      |                     |    |
           106.843  |   300 |           |      |                     |    |
           106.913  |   400 |           |      |                     |    |
           107.266  |   700 |           |      |                     |    |
           108.665  |   600 |           |      |                     |    |
                    |       |           |      |                     |    |
           108.785  |   500 |           |      |                     |    |
           108.949  |   800 |           |      |                     |    |
           109.209  |   300 |           |      |                     |    |
           111.694  |  1000 |           |      |                     |    |
           112.201  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           116.339  |   700 |           |      |                     |    |
           116.526  |   300 |           |      |                     |    |
           117.669  |   200 |           |      |                     |    |
           122.230  |   700 |           |      |                     |    |
