
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                              Observed  |    Rel. |     Aki    | Acc. |                  Ei           Ek                   |           Lower level           |           Upper level            |Type|
          |                             Wavelength |    Int. |     s^-1   |      |                 (eV)         (eV)                  |---------------------------------|----------------------------------|    |
          |                              Vac (nm)  |         |            |      |                                                    | Conf.                 | Term    | Conf.                  | Term    |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V VI      |                     100.1714           |       0 |            |      |    77.31586             -     89.69284             | 3s2.3p5.4p            | 3P      | 3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* |    |
V VI      |                     100.4361           |       4 |            |      |    76.93333             -     89.27791             | 3s2.3p5.4p            | 1P      | 3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* |    |
V III     |                     100.646            |     500 |            |      |                                                    |                       |         |                        |         |    |
V VI      |                     100.8709           |       0 |            |      |    75.91424             -     88.20560             | 3s2.3p5.4p            | 3D      | 3s2.3p5.(2P*<3/2>).4d  | 2[7/2]* |    |
V VI      |                     100.9758           |       5 |            |      |    75.92703             -     88.20560             | 3s2.3p5.4p            | 3D      | 3s2.3p5.(2P*<3/2>).4d  | 2[7/2]* |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V VI      |                     101.4565           |       4 |            |      |    76.27232             -     88.49276             | 3s2.3p5.4p            | 3D      | 3s2.3p5.(2P*<3/2>).4d  | 2[5/2]* |    |
V VI      |                     101.6204           |       7 |            |      |    75.91424             -     88.11497             | 3s2.3p5.4p            | 3D      | 3s2.3p5.(2P*<3/2>).4d  | 2[7/2]* |    |
V VI      |                     101.9249           |       5 |            |      |    77.20799             -     89.37227             | 3s2.3p5.4p            | 1D      | 3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* |    |
V VI      |                     102.4663           |       4 |            |      |    77.31586             -     89.41586             | 3s2.3p5.4p            | 3P      | 3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* |    |
H I       |                     102.5728           |         | 1.6725e+08 | AAA  |     0.0000000000000     -     12.0875065719        | 1s                    | 2S      | 3p                     | 2P*     |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
H I       |                     102.5728           |  250000 | 5.5751e+07 | AAA  |     0.0000000000000     -     12.0875046           | 1s                    | 2S      | 3                      |         |    |
H I       |                     102.5728           |         | 1.6725e+08 | AAA  |     0.0000000000000     -     12.0874931306        | 1s                    | 2S      | 3p                     | 2P*     |    |
V VI      |                     102.7219           |       0 |            |      |    77.20799             -     89.27791             | 3s2.3p5.4p            | 1D      | 3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* |    |
V VI      |                     102.9044           |       5 |            |      |    76.55900             -     88.60752             | 3s2.3p5.4p            | 3P      | 3s2.3p5.(2P*<3/2>).4d  | 2[5/2]* |    |
V VI      |                     103.8953           |       0 |            |      |    76.93333             -     88.86696             | 3s2.3p5.4p            | 1P      | 3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
