
------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level     |         Upper level         |Type|
          |          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |--------------------|-----------------------------|    |
          |           Vac (nm)  |       |           |      |                                 | Conf.       | Term | Conf.               | Term  |    |
------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |       |           |      |                                 |             |      |                     |       |    |
Hf V      |           107.842   |   100 |           |      |                                 |             |      |                     |       |    |
Hf V      |           107.992   |   100 |           |      |                                 |             |      |                     |       |    |
Hf V      |           109.276   |   160 |           |      |                                 |             |      |                     |       |    |
Hf V      |           109.728   |   135 |           |      |                                 |             |      |                     |       |    |
Hf V      |           113.749   |   135 |           |      |                                 |             |      |                     |       |    |
          |                     |       |           |      |                                 |             |      |                     |       |    |
Hf V      |           120.176   |   160 |           |      |                                 |             |      |                     |       |    |
Hf V      |           120.888   |   135 |           |      |                                 |             |      |                     |       |    |
Hf V      |           122.462   |   135 |           |      |                                 |             |      |                     |       |    |
Hf V      |           122.798   |   135 |           |      |                                 |             |      |                     |       |    |
Hf V      |           123.021   |   135 |           |      |                                 |             |      |                     |       |    |
          |                     |       |           |      |                                 |             |      |                     |       |    |
Hf V      |           123.203   |   270 |           |      |                                 |             |      |                     |       |    |
Hf V      |           123.359   |   200 |           |      |                                 |             |      |                     |       |    |
Hf V      |           123.742   |   160 |           |      |                                 |             |      |                     |       |    |
Hf V      |           123.885   |   100 |           |      |                                 |             |      |                     |       |    |
Hf V      |           123.953   |   160 |           |      |                                 |             |      |                     |       |    |
          |                     |       |           |      |                                 |             |      |                     |       |    |
Hf V      |           124.446   |   160 |           |      |                                 |             |      |                     |       |    |
Hf V      |           125.925   |   100 |           |      |                                 |             |      |                     |       |    |
Hf IV     |           130.524   |    15 |           |      |                                 |             |      |                     |       |    |
Hf IV     |           135.740   |    12 |           |      |                                 |             |      |                     |       |    |
Hf IV     |           139.039   |    40 |           |      |                                 |             |      |                     |       |    |
          |                     |       |           |      |                                 |             |      |                     |       |    |
Hf V      |           139.666   |   440 |           |      |                                 |             |      |                     |       |    |
Hf V      |           140.009   |   270 |           |      |                                 |             |      |                     |       |    |
Hf V      |           140.170   |   160 |           |      |                                 |             |      |                     |       |    |
Hf V      |           140.577   |   135 |           |      |                                 |             |      |                     |       |    |
Hf V      |           140.717   |   370 |           |      |                                 |             |      |                     |       |    |
          |                     |       |           |      |                                 |             |      |                     |       |    |
Hf V      |           140.838   |   370 |           |      |                                 |             |      |                     |       |    |
Hf V      |           141.228   |   270 |           |      |                                 |             |      |                     |       |    |
Hf V      |           141.351   |   270 |           |      |                                 |             |      |                     |       |    |
Hf V      |           142.196   |   160 |           |      |                                 |             |      |                     |       |    |
Hf V      |           142.253   |   220 |           |      |                                 |             |      |                     |       |    |
          |                     |       |           |      |                                 |             |      |                     |       |    |
Hf V      |           143.343   |   370 |           |      |                                 |             |      |                     |       |    |
Hf V      |           143.727   |   370 |           |      |                                 |             |      |                     |       |    |
Hf V      |           143.773   |   500 |           |      |                                 |             |      |                     |       |    |
