
-------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |  Lower level   |         Upper level         |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |----------------|-----------------------------|    |
          Air (nm)  |       |           |      |                                | Conf.   | Term | Conf.               | Term  |    |
-------------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                |         |      |                     |       |    |
           235.302  |   110 |           |      |                                |         |      |                     |       |    |
           242.875  |    45 |           |      |                                |         |      |                     |       |    |
           244.499  |    35 |           |      |                                |         |      |                     |       |    |
           246.567  |    35 |           |      |                                |         |      |                     |       |    |
           248.265  |    55 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           248.716  |    55 |           |      |                                |         |      |                     |       |    |
           260.845  |   120 |           |      |                                |         |      |                     |       |    |
           263.700  |   160 |           |      |                                |         |      |                     |       |    |
           264.275  |   160 |           |      |                                |         |      |                     |       |    |
           270.561  |   670 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           271.384  |   140 |           |      |                                |         |      |                     |       |    |
           271.859  |   250 |           |      |                                |         |      |                     |       |    |
           273.085  |   120 |           |      |                                |         |      |                     |       |    |
           274.364  |   200 |           |      |                                |         |      |                     |       |    |
           276.163  |   450 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           276.696  |   160 |           |      |                                |         |      |                     |       |    |
           277.302  |   170 |           |      |                                |         |      |                     |       |    |
           277.937  |   390 |           |      |                                |         |      |                     |       |    |
           281.768  |   230 |           |      |                                |         |      |                     |       |    |
           281.894  |   140 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           281.974  |   200 |           |      |                                |         |      |                     |       |    |
           283.328  |   180 |           |      |                                |         |      |                     |       |    |
           283.413  |   110 |           |      |                                |         |      |                     |       |    |
           284.583  |   410 |           |      |                                |         |      |                     |       |    |
           285.096  |   270 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           286.056  |   180 |           |      |                                |         |      |                     |       |    |
           286.637  |  2100 |           |      |   0.00000     -     4.324202   | 5d2.6s2 | a 3F | 5d2.(3F).6s.(2F).6p | 1F*   |    |
           288.714  |   210 |           |      |                                |         |      |                     |       |    |
           288.754  |   100 |           |      |                                |         |      |                     |       |    |
           288.962  |   800 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           289.826  |  1800 |           |      |   0.292191    -     4.568822   | 5d2.6s2 | a 3F | 5d2.(1G).6s.(2G).6p | 3G*   |    |
           290.441  |  1200 |           |      |   0.566315    -     4.833877   | 5d2.6s2 | a 3F | 5d2.(3F).6s.(2F).6p | 1G*   |    |
           290.475  |   890 |           |      |                                |         |      |                     |       |    |
           291.648  |  2000 |           |      |   0.566315    -     4.816222   | 5d2.6s2 | a 3F | 5d2.(1G).6s.(2G).6p | 3G*   |    |
           291.858  |   580 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           292.462  |   180 |           |      |                                |         |      |                     |       |    |
