
------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level     |      Upper level      |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |--------------------|-----------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.       | Term | Conf.         | Term  |    |
------------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                 |             |      |               |       |    |
           201.278  |  6200 |           |      |    0.378261    -     6.536132   | 5d.6s2      | a 2D | 5d2.(3P).6p   | x 4D* |    |
           202.818  |  8500 |           |      |    1.671996    -     7.78310    | 5d2.(3P).6s | a 4P | 5d2.(1G).6p   | v 2F* |    |
           209.618  |  1200 |           |      |                                 |             |      |               |       |    |
           221.082  |   540 |           |      |                                 |             |      |               |       |    |
           225.401  |   320 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           225.515  |   160 |           |      |                                 |             |      |               |       |    |
           226.683  |   250 |           |      |                                 |             |      |               |       |    |
           227.716  |   620 |           |      |                                 |             |      |               |       |    |
           232.114  |   230 |           |      |                                 |             |      |               |       |    |
           232.247  |   580 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           232.325  |   300 |           |      |                                 |             |      |               |       |    |
           232.450  |   120 |           |      |                                 |             |      |               |       |    |
           232.489  |   300 |           |      |                                 |             |      |               |       |    |
           233.297  |   200 |           |      |                                 |             |      |               |       |    |
           233.733  |   200 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           234.332  |   230 |           |      |                                 |             |      |               |       |    |
           234.744  |   320 |           |      |                                 |             |      |               |       |    |
           235.122  |   540 |           |      |                                 |             |      |               |       |    |
           236.598  |    90 |           |      |                                 |             |      |               |       |    |
           238.030  |   250 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           238.100  |   100 |           |      |                                 |             |      |               |       |    |
           239.318  |   170 |           |      |                                 |             |      |               |       |    |
           239.336  |   450 |           |      |                                 |             |      |               |       |    |
           239.383  |   670 |           |      |                                 |             |      |               |       |    |
           240.078  |   130 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           240.456  |    70 |           |      |                                 |             |      |               |       |    |
           240.542  |   540 |           |      |                                 |             |      |               |       |    |
           240.644  |   130 |           |      |                                 |             |      |               |       |    |
           241.014  |   370 |           |      |                                 |             |      |               |       |    |
           241.333  |    90 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           241.596  |    55 |           |      |                                 |             |      |               |       |    |
           241.769  |   320 |           |      |                                 |             |      |               |       |    |
           242.598  |   120 |           |      |                                 |             |      |               |       |    |
           242.899  |   120 |           |      |                                 |             |      |               |       |    |
           243.357  |   130 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           243.474  |    45 |           |      |                                 |             |      |               |       |    |
           244.725  |   390 |           |      |                                 |             |      |               |       |    |
           244.944  |   140 |           |      |                                 |             |      |               |       |    |
           245.230  |    35 |           |      |                                 |             |      |               |       |    |
