
------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |          Lower level           |          Upper level           |Type|
             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |--------------------------------|--------------------------------|    |
              Vac (nm)  |        |           |      |                                     | Conf.                | Term    | Conf.                | Term    |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |        |           |      |                                     |                      |         |                      |         |    |
            106.68      |      8 |           |      |    0.000000      -    11.62183      | 5d10.6s2             | 1S      | 5d9.6s2.(2D<3/2>).6p | 2[3/2]* |    |
            112.66      | 100H,s |           |      |    0.000000      -    11.00479      | 5d10.6s2             | 1S      | 5d9.6s2.(2D<3/2>).6p | 2[1/2]* |    |
            119.3977    |      a |           |      |    0.000000      -    10.384147     | 5d10.6s2             | 1S      | 5d10.6s.20p          | 1P*     |    |
            119.4113    |      a |           |      |    0.000000      -    10.382961     | 5d10.6s2             | 1S      | 5d10.6s.20p          | 3P*     |    |
            119.4824    |      a |           |      |    0.000000      -    10.376788     | 5d10.6s2             | 1S      | 5d10.6s.19p          | 1P*     |    |
                        |        |           |      |                                     |                      |         |                      |         |    |
            119.4990    |      a |           |      |    0.000000      -    10.375339     | 5d10.6s2             | 1S      | 5d10.6s.19p          | 3P*     |    |
            119.5859    |      a |           |      |    0.000000      -    10.367793     | 5d10.6s2             | 1S      | 5d10.6s.18p          | 1P*     |    |
            119.6068    |      a |           |      |    0.000000      -    10.365990     | 5d10.6s2             | 1S      | 5d10.6s.18p          | 3P*     |    |
            119.7147    |      a |           |      |    0.000000      -    10.356646     | 5d10.6s2             | 1S      | 5d10.6s.17p          | 1P*     |    |
            119.7409    |      a |           |      |    0.000000      -    10.354384     | 5d10.6s2             | 1S      | 5d10.6s.17p          | 3P*     |    |
                        |        |           |      |                                     |                      |         |                      |         |    |
            119.8772    |      a |           |      |    0.000000      -    10.342588     | 5d10.6s2             | 1S      | 5d10.6s.16p          | 1P*     |    |
            119.9109    |      a |           |      |    0.000000      -    10.339703     | 5d10.6s2             | 1S      | 5d10.6s.16p          | 3P*     |    |
            120.0867    |      a |           |      |    0.000000      -    10.324563     | 5d10.6s2             | 1S      | 5d10.6s.15p          | 1P*     |    |
            120.1311    |      a |           |      |    0.000000      -    10.320748     | 5d10.6s2             | 1S      | 5d10.6s.15p          | 3P*     |    |
            120.3634    |      a |           |      |    0.000000      -    10.300846     | 5d10.6s2             | 1S      | 5d10.6s.14p          | 1P*     |    |
                        |        |           |      |                                     |                      |         |                      |         |    |
            120.4234    |      a |           |      |    0.000000      -    10.295701     | 5d10.6s2             | 1S      | 5d10.6s.14p          | 3P*     |    |
            120.7384    |      a |           |      |    0.000000      -    10.2688440    | 5d10.6s2             | 1S      | 5d10.6s.13p          | 1P*     |    |
            120.8232    |      a |           |      |    0.000000      -    10.261635     | 5d10.6s2             | 1S      | 5d10.6s.13p          | 3P*     |    |
            121.2656    |      a |           |      |    0.000000      -    10.2242229    | 5d10.6s2             | 1S      | 5d10.6s.12p          | 1P*     |    |
