
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |      Rel. |    Aki    | Acc. |           Ei           Ek           |            Lower level             |             Upper level             |Type|
             Wavelength |      Int. |    s^-1   |      |          (eV)         (eV)          |------------------------------------|-------------------------------------|    |
              Vac (nm)  |           |           |      |                                     | Conf.     | Term                   | Conf.     | Term                    |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |           |           |      |                                     |           |                        |           |                         |    |
             102.2965   |        50 | 1.0e+06   |      |     4.4032520    -     16.5233145   | 5d9.6s2   | 2D                     | 5d10.6f   | 2F*                     |    |
             102.7570   |       100 | 1.6e+08   |      |     7.5144789    -     19.5802293   | 5d10.6p   | 2P*                    | 5d9.6p2   | (2D<5/2>,3P<2>)         |    |
             102.9908   |      6000 | 1.2e+05   |      |     0.000000     -     12.0383412   | 5d10.6s   | 2S                     | 5d9.6s.6p | (2D<3/2>,3P<0>)*        |    |
             103.3737   |        25 | 8.2e+06   |      |     6.3834588    -     18.3772437   | 5d10.6p   | 2P*                    | 5d9.6s.6d | [(2D<5/2>,1/2)<2>,3/2]  |    |
             103.4691   |        20 | 1.6e+07   |      |     6.3834588    -     18.3661925   | 5d10.6p   | 2P*                    | 5d9.6s.6d | [(2D<5/2>,1/2)<2>,3/2]  |    |
                        |           |           |      |                                     |           |                        |           |                         |    |
             103.9631   |    200000 | 3.0e+08   |      |     0.000000     -     11.9257831   | 5d10.6s   | 2S                     | 5d9.6s.6p | (2D<5/2>,3P<2>)*        |    |
             105.2960   |       150 |           |      |                                     |           |                        |           |                         |    |
             106.2780   |    200000 | 5.2e+07   |      |     0.000000     -     11.6660241   | 5d10.6s   | 2S                     | 5d9.6s.6p | (2D<5/2>,3P<2>)*        |    |
             107.0369   |       120 | 2.3e+07   |      |     6.3834588    -     17.9667640   | 5d10.6p   | 2P*                    | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2]  |    |
             107.3337   |       15l | 9.2e+06   |      |     6.3834588    -     17.9347694   | 5d10.6p   | 2P*                    | 5d10.11d  | 2D                      |    |
                        |           |           |      |                                     |           |                        |           |                         |    |
             107.4416   |        12 | 3.0e+06   |      |     6.3834588    -     17.9231321   | 5d10.6p   | 2P*                    | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,3/2]  |    |
             108.3646   |       500 | 1.5e+07   |      |     4.4032520    -     15.8446196   | 5d9.6s2   | 2D                     | 5d10.8p   | 2P*                     |    |
             109.6804   |        40 | 2.1e+07   |      |     6.3834588    -     17.6876193   | 5d10.6p   | 2P*                    | 5d10.10d  | 2D                      |    |
             110.5878   |        50 | 3.8e+07   |      |     6.3834588    -     17.5948777   | 5d10.6p   | 2P*                    | 5d10.11s  | 2S                      |    |
             112.2335   |         8 | 2.0e+07   |      |     4.4032520    -     15.4502647   | 5d9.6s2   | 2D                     | 5d9.6s.6p | (2D<3/2>,1P<1>)*        |    |
                        |           |           |      |                                     |           |                        |           |                         |    |
             112.8046   |        40 |           |      |                                     |           |                        |           |                         |    |
             113.7700   |        15 | 3.2e+06   |      |     4.4032520    -     15.3010568   | 5d9.6s2   | 2D                     | 5d10.5f   | 2F*                     |    |
