
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |    Rel. |    Aki    | Acc. |           Ei           Ek            |        Lower level         |         Upper level         |Type|
          |             Wavelength |    Int. |    s^-1   |      |          (eV)         (eV)           |----------------------------|-----------------------------|    |
          |              Vac (nm)  |         |           |      |                                      | Conf.              | Term  | Conf.               | Term  |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I II      |            100.0572    |    1200 |           |      |     0.0000       -     12.391365     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).5d    | 3F*   |    |
I II      |            100.3350    |    1000 |           |      |     1.70196      -     14.058932     | 5s2.5p4            | 1D    | 5s2.5p3.(2D*).5d    | 1F*   |    |
I II      |            101.8583    |    4000 |           |      |     0.0000       -     12.172241     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).5d    | 3D*   |    |
I II      |            103.4655    |   10000 |           |      |     0.0000       -     11.983140     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).6s    | 3D*   |    |
I II      |            105.4742    |    1500 |           |      |     1.70196      -     13.456934     | 5s2.5p4            | 1D    | 5s2.5p3.(2D*).5d    | 1D*   |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I II      |            106.7341    |    2000 |           |      |     0.0000       -     11.616246     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).6s    | 3D*   |    |
I II      |            107.5210    |    3000 |           |      |     0.0000       -     11.531268     | 5s2.5p4            | 3P    | 5s2.5p3.(4S*).5d    | 3D*   |    |
I III     |            107.858     |       6 |           |      |                                      |                    |       |                     |       |    |
I III     |            109.420     |       8 |           |      |                                      |                    |       |                     |       |    |
I II      |            110.5000    |    5000 |           |      |     0.0000       -     11.220360     | 5s2.5p4            | 3P    | 5s2.5p3.(4S*).5d    | 3D*   |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I II      |            111.1165    |    2500 |           |      |     0.8786621    -     12.036795     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).5d    | 3D*   |    |
I II      |            111.7219    |    1500 |           |      |     0.79944      -     11.897009     | 5s2.5p4            | 3P    | 5s.5p5              | 1P*   |    |
I II      |            112.5251    |    3500 |           |      |     0.8786621    -     11.897009     | 5s2.5p4            | 3P    | 5s.5p5              | 1P*   |    |
I II      |            113.1504    |    2000 |           |      |     0.79944      -     11.756842     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).6s    | 3D*   |    |
I II      |            113.9752    |    1200 |           |      |     0.8786621    -     11.756842     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).6s    | 3D*   |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I II      |            113.9805    |   10000 |           |      |     0.0000       -     10.877637     | 5s2.5p4            | 3P    | 5s2.5p3.(4S*).5d    | 5D*   |    |
I II      |            115.4668    |    1500 |           |      |     0.8786621    -     11.616246     | 5s2.5p4            | 3P    | 5s2.5p3.(2D*).6s    | 3D*   |    |
I II      |            115.9871    |    1000 |           |      |     1.70196      -     12.391365     | 5s2.5p4            | 1D    | 5s2.5p3.(2D*).5d    | 3F*   |    |
