
----------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek           |        Lower level         |         Upper level         |Type|
            Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)          |----------------------------|-----------------------------|    |
             Vac (nm)  |         |           |      |                                    | Conf.              | Term  | Conf.               | Term  |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------
                       |         |           |      |                                    |                    |       |                     |       |    |
           119.5289    |     110 |           |      |                                    |                    |       |                     |       |    |
           121.8411    |    1400 |           |      |    0.000000     -    10.175894     | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).11s | 2[2]  |    |
           122.4049    |    4400 |           |      |    0.000000     -    10.129014     | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).9d  | 2[3]  |    |
           122.4077    |    4400 |           |      |    0.000000     -    10.128791     | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).9d  | 2[2]  |    |
           122.8888    |    3800 |           |      |    0.000000     -    10.089131     | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).10s | 2[2]  |    |
                       |         |           |      |                                    |                    |       |                     |       |    |
           125.1335    |    5400 |           |      |    0.000000     -     9.9081574    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).9s  | 2[2]  |    |
           125.9153    |   24000 |           |      |    0.000000     -     9.8466373    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7d  | 2[2]  |    |
           125.9511    |   29000 |           |      |    0.000000     -     9.8438362    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7d  | 2[2]  |    |
           126.1268    |    7700 |           |      |    0.000000     -     9.8301206    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).7s  | 2[1]  |    |
           126.7569    |    6100 |           |      |    0.000000     -     9.7812602    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).7s  | 2[1]  |    |
                       |         |           |      |                                    |                    |       |                     |       |    |
           126.7596    |    6100 |           |      |    0.000000     -     9.7810536    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7d  | 2[1]  |    |
           127.5255    |   16000 |           |      |    0.000000     -     9.7223036    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<0>).7s  | 2[0]  |    |
           128.9395    |   35000 |           |      |    0.000000     -     9.6156963    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).8s  | 2[2]  |    |
           130.0335    |  130000 |           |      |    0.000000     -     9.5347897    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[2]  |    |
           130.2983    |   39000 |           |      |    0.000000     -     9.5154121    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[2]  |    |
                       |         |           |      |                                    |                    |       |                     |       |    |
           131.3947    |   41000 |           |      |    0.000000     -     9.4360089    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[3]  |    |
           131.7542    |   42000 |           |      |    0.000000     -     9.4102630    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).5d  | 2[2]  |    |
