
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           107.858  |     6 |           |      |                     |    |
           109.420  |     8 |           |      |                     |    |
           124.466  |     4 |           |      |                     |    |
           125.235  |     8 |           |      |                     |    |
           130.693  |     5 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           222.443  |     1 |           |      |                     |    |
           223.812  |     1 |           |      |                     |    |
           224.931  |     3 |           |      |                     |    |
           230.938  |     2 |           |      |                     |    |
           234.085  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           235.043  |     3 |           |      |                     |    |
           235.346  |     2 |           |      |                     |    |
           236.774  |     4 |           |      |                     |    |
           237.145  |     2 |           |      |                     |    |
           237.245  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           237.647  |     4 |           |      |                     |    |
           238.712  |     4 |           |      |                     |    |
           239.201  |     3 |           |      |                     |    |
           240.306  |     2 |           |      |                     |    |
           240.363  |     2 |           |      |                     |    |
                    |       |           |      |                     |    |
           241.485  |     2 |           |      |                     |    |
           241.849  |     2 |           |      |                     |    |
           241.885  |     2 |           |      |                     |    |
           242.391  |     2 |           |      |                     |    |
           242.612  |     5 |           |      |                     |    |
                    |       |           |      |                     |    |
           243.488  |     3 |           |      |                     |    |
           246.250  |     2 |           |      |                     |    |
           246.669  |     3 |           |      |                     |    |
           246.699  |     3 |           |      |                     |    |
           247.536  |     6 |           |      |                     |    |
                    |       |           |      |                     |    |
           248.927  |     4 |           |      |                     |    |
           249.321  |     2 |           |      |                     |    |
           249.427  |     2 |           |      |                     |    |
           249.516  |     3 |           |      |                     |    |
           249.607  |     2 |           |      |                     |    |
                    |       |           |      |                     |    |
           250.141  |     3 |           |      |                     |    |
           251.682  |     2 |           |      |                     |    |
           251.975  |     6 |           |      |                     |    |
           252.172  |     4 |           |      |                     |    |
           253.199  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           253.756  |     2 |           |      |                     |    |
           254.571  |     7 |           |      |                     |    |
           264.077  |     4 |           |      |                     |    |
           264.211  |     4 |           |      |                     |    |
           265.225  |     6 |           |      |                     |    |
                    |       |           |      |                     |    |
           281.848  |     2 |           |      |                     |    |
           283.944  |     2 |           |      |                     |    |
           286.467  |     4 |           |      |                     |    |
           288.515  |     4 |           |      |                     |    |
           291.098  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           291.735  |     3 |           |      |                     |    |
           293.111  |     2 |           |      |                     |    |
           300.568  |     2 |           |      |                     |    |
           306.923  |     3 |           |      |                     |    |
           315.388  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           317.014  |     3 |           |      |                     |    |
           318.166  |     3 |           |      |                     |    |
           321.014  |     3 |           |      |                     |    |
           321.349  |     4 |           |      |                     |    |
           322.493  |     4 |           |      |                     |    |
                    |       |           |      |                     |    |
           330.047  |     2 |           |      |                     |    |
           347.953  |     2 |           |      |                     |    |
           354.692  |     3 |           |      |                     |    |
           361.381  |     3 |           |      |                     |    |
           375.440  |     2 |           |      |                     |    |
                    |       |           |      |                     |    |
           375.455  |     2 |           |      |                     |    |
           396.316  |     3 |           |      |                     |    |
           407.714  |     3 |           |      |                     |    |
