
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                           Observed  |   Rel. |    Aki    | Acc. |                 Ei           Ek                  |      Lower level      |      Upper level       |Type|
          |                          Wavelength |   Int. |    s^-1   |      |                (eV)         (eV)                 |-----------------------|------------------------|    |
          |                           Vac (nm)  |        |           |      |                                                  | Conf.          | Term | Conf.           | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    100.045          |   2700 | 2.8e+07   | C    |     5.37478689         -     17.767581           | 5s.5p          | 3P*  | 5s.9d           | 3D   |    |
In II     |                    100.054          |   2700 | 1.3e+07   | C    |     5.37478689         -     17.766745           | 5s.5p          | 3P*  | 5s.9d           | 3D   |    |
In II     |                    100.435          |  2000* | 8.e+07    | D+   |     5.6821033          -     18.026674           | 5s.5p          | 3P*  | 5s.10d          | 3D   |    |
In II     |                    100.435          |  2000* | 1.9e+07   | D+   |     5.6821033          -     18.025777           | 5s.5p          | 3P*  | 5s.10d          | 3D   |    |
In II     |                    100.495          |    860 |           |      |     5.37478689         -     17.711993           | 5s.5p          | 3P*  | 5s.10s          | 1S   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    100.648          |   1200 | 1.3e+07   | C    |     5.37478689         -     17.6935764          | 5s.5p          | 3P*  | 5s.10s          | 3S   |    |
In II     |                    100.841          |   1200 | 7.e+07    | D+   |     5.6821033          -     17.976467           | 5s.5p          | 3P*  | 5s.11s          | 3S   |    |
In II     |                    102.244          |   2300 | 3.4e+07   | C    |     5.2415551542831    -     17.367982           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
In IV     |                    102.468          |     89 |           |      |                                                  |                |      |                 |      |    |
In IV     |                    102.479          |     85 |           |      |                                                  |                |      |                 |      |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In IV     |                    103.145          |     88 |           |      |                                                  |                |      |                 |      |    |
In IV     |                    103.198          |     82 |           |      |                                                  |                |      |                 |      |    |
In II     |                    103.221          |  2100* | 2.1e+07   | C    |     5.6821033          -     17.6935764          | 5s.5p          | 3P*  | 5s.10s          | 3S   |    |
In II     |                    103.221          |  2100* | 6.3e+06   | C    |     5.2415551542831    -     17.2507955          | 5s.5p          | 3P*  | 5s.9s           | 3S   |    |
In II     |                    103.369          |   3100 | 4.5e+07   | C    |     5.37478689         -     17.369273           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    104.389          |   3300 | 1.8e+07   | C    |     5.37478689         -     17.2507955          | 5s.5p          | 3P*  | 5s.9s           | 3S   |    |
In IV     |                    105.443          |     80 |           |      |                                                  |                |      |                 |      |    |
In II     |                    106.068          |   3700 | 5.5e+07   | C    |     5.6821033          -     17.371307           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
In II     |                    106.092          |   1700 | 1.2e+07   | C    |     5.6821033          -     17.369273           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
