
----------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level   |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|----------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.  | Term | Conf.   | Term |    |
----------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |        |      |         |      |    |
          164.800     |    2h |           |      |    0.000000     -     7.5199      | 5s2.5p | 2P*  | 5s.5p2  | 2P   |    |
          167.616     |    1w |           |      |    0.000000     -     7.3965      | 5s2.5p | 2P*  | 5s.5p2  | 2P   |    |
          171.154     |    5w |           |      |    0.2743273    -     7.5199      | 5s2.5p | 2P*  | 5s.5p2  | 2P   |    |
          174.123     |    2w |           |      |    0.2743273    -     7.3965      | 5s2.5p | 2P*  | 5s.5p2  | 2P   |    |
          175.849     |    1w |           |      |                                   |        |      |         |      |    |
----------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level   |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|----------------|    |
            Air (nm)  |       |           |      |                                   | Conf.  | Term | Conf.   | Term |    |
----------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |        |      |         |      |    |
          217.990     |     2 |           |      |    0.000000     -     5.685828    | 5s2.5p | 2P*  | 5s2.14d | 2D   |    |
          218.240     |     2 |           |      |    0.000000     -     5.679329    | 5s2.5p | 2P*  | 5s2.15s | 2S   |    |
          218.740     |     2 |           |      |    0.000000     -     5.666336    | 5s2.5p | 2P*  | 5s2.13d | 2D   |    |
          219.084     |     2 |           |      |    0.000000     -     5.657453    | 5s2.5p | 2P*  | 5s2.14s | 2S   |    |
          219.7407    |     2 |           |      |    0.000000     -     5.640534    | 5s2.5p | 2P*  | 5s2.12d | 2D   |    |
                      |       |           |      |                                   |        |      |         |      |    |
          220.2240    |     2 |           |      |    0.000000     -     5.628155    | 5s2.5p | 2P*  | 5s2.13s | 2S   |    |
          221.1137    |     3 |           |      |    0.000000     -     5.605513    | 5s2.5p | 2P*  | 5s2.11d | 2D   |    |
          223.0699    |     5 |           |      |    0.000000     -     5.556359    | 5s2.5p | 2P*  | 5s2.10d | 2D   |    |
          224.1664    |     3 |           |      |    0.000000     -     5.529182    | 5s2.5p | 2P*  | 5s2.11s | 2S   |    |
          225.9991    |    10 |           |      |    0.000000     -     5.484404    | 5s2.5p | 2P*  | 5s2.9d  | 2D   |    |
                      |       |           |      |                                   |        |      |         |      |    |
          227.8196    |     5 |           |      |    0.000000     -     5.440583    | 5s2.5p | 2P*  | 5s2.10s | 2S   |    |
          228.375     |     2 |           |      |    0.2743273    -     5.7011311   | 5s2.5p | 2P*  | 5s2.15d | 2D   |    |
          229.833     |     2 |           |      |    0.2743273    -     5.667196    | 5s2.5p | 2P*  | 5s2.13d | 2D   |    |
          229.870     |     2 |           |      |    0.2743273    -     5.666336    | 5s2.5p | 2P*  | 5s2.13d | 2D   |    |
          230.249     |     2 |           |      |    0.2743273    -     5.657453    | 5s2.5p | 2P*  | 5s2.14s | 2S   |    |
