
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           Observed  |   Rel. |    Aki    | Acc. |                 Ei           Ek                  |      Lower level      |      Upper level       |Type|
                          Wavelength |   Int. |    s^-1   |      |                (eV)         (eV)                 |-----------------------|------------------------|    |
                           Vac (nm)  |        |           |      |                                                  | Conf.          | Term | Conf.           | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                     |        |           |      |                                                  |                |      |                 |      |    |
                    100.045          |   2700 | 2.8e+07   | C    |     5.37478689         -     17.767581           | 5s.5p          | 3P*  | 5s.9d           | 3D   |    |
                    100.054          |   2700 | 1.3e+07   | C    |     5.37478689         -     17.766745           | 5s.5p          | 3P*  | 5s.9d           | 3D   |    |
                    100.435          |  2000* | 8.e+07    | D+   |     5.6821033          -     18.026674           | 5s.5p          | 3P*  | 5s.10d          | 3D   |    |
                    100.435          |  2000* | 1.9e+07   | D+   |     5.6821033          -     18.025777           | 5s.5p          | 3P*  | 5s.10d          | 3D   |    |
                    100.495          |    860 |           |      |     5.37478689         -     17.711993           | 5s.5p          | 3P*  | 5s.10s          | 1S   |    |
                                     |        |           |      |                                                  |                |      |                 |      |    |
                    100.648          |   1200 | 1.3e+07   | C    |     5.37478689         -     17.6935764          | 5s.5p          | 3P*  | 5s.10s          | 3S   |    |
                    100.841          |   1200 | 7.e+07    | D+   |     5.6821033          -     17.976467           | 5s.5p          | 3P*  | 5s.11s          | 3S   |    |
                    102.244          |   2300 | 3.4e+07   | C    |     5.2415551542831    -     17.367982           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
                    103.221          |  2100* | 2.1e+07   | C    |     5.6821033          -     17.6935764          | 5s.5p          | 3P*  | 5s.10s          | 3S   |    |
                    103.221          |  2100* | 6.3e+06   | C    |     5.2415551542831    -     17.2507955          | 5s.5p          | 3P*  | 5s.9s           | 3S   |    |
                                     |        |           |      |                                                  |                |      |                 |      |    |
                    103.369          |   3100 | 4.5e+07   | C    |     5.37478689         -     17.369273           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
                    104.389          |   3300 | 1.8e+07   | C    |     5.37478689         -     17.2507955          | 5s.5p          | 3P*  | 5s.9s           | 3S   |    |
                    106.068          |   3700 | 5.5e+07   | C    |     5.6821033          -     17.371307           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
                    106.092          |   1700 | 1.2e+07   | C    |     5.6821033          -     17.369273           | 5s.5p          | 3P*  | 5s.8d           | 3D   |    |
                    106.275          |   990i |           |      |     5.6821033          -     17.348086           | 5s.5p          | 3P*  | 5s<1/2,F=4>.6g  |      |    |
                                     |        |           |      |                                                  |                |      |                 |      |    |
                    107.193          |   3100 | 2.9e+07   | C    |     5.6821033          -     17.2507955          | 5s.5p          | 3P*  | 5s.9s           | 3S   |    |
                    108.166          |   5000 | 4.6e+07   | C    |     5.2415551542831    -     16.7039549          | 5s.5p          | 3P*  | 5s.7d           | 3D   |    |
                    109.418          |   6200 | 6.0e+07   | C    |     5.37478689         -     16.7061285          | 5s.5p          | 3P*  | 5s.7d           | 3D   |    |
