
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           140.308  |    30 |           |      |                     |    |
           143.485  |    30 |           |      |                     |    |
           148.770  |    20 |           |      |                     |    |
           149.414  |    20 |           |      |                     |    |
           152.478  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           153.021  |    20 |           |      |                     |    |
           153.295  |    30 |           |      |                     |    |
           162.542  |   100 |           |      |                     |    |
           164.228  |    20 |           |      |                     |    |
           170.253  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           174.883  |   100 |           |      |                     |    |
           176.788  |     2 |           |      |                     |    |
           181.071  |     1 |           |      |                     |    |
           184.241  |    30 |           |      |                     |    |
           185.030  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           186.298  |    15 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           215.408  |    30 |           |      |                     |    |
           215.442  |     2 |           |      |                     |    |
           219.952  |    10 |           |      |                     |    |
           223.218  |     5 |           |      |                     |    |
           226.126  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           226.626  |     5 |           |      |                     |    |
           227.241  |     5 |           |      |                     |    |
           227.284  |     5 |           |      |                     |    |
           230.090  |    10 |           |      |                     |    |
           252.741  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           272.552  |    50 |           |      |                     |    |
           272.615  |    80 |           |      |                     |    |
           298.280  |   100 |           |      |                     |    |
           300.808  |   100 |           |      |                     |    |
           300.882  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           329.355  |    30 |           |      |                     |    |
           335.091  |     8 |           |      |                     |    |
           356.232  |     5 |           |      |                     |    |
           385.282  |   100 |           |      |                     |    |
           402.377  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           403.232  |   150 |           |      |                     |    |
           406.230  |    50 |           |      |                     |    |
           407.157  |   100 |           |      |                     |    |
           407.293  |   100 |           |      |                     |    |
           425.268  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           450.958  |    40 |           |      |                     |    |
           524.877  |   200 |           |      |                     |    |
           564.515  |   100 |           |      |                     |    |
           572.317  |    40 |           |      |                     |    |
           581.950  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           619.772  |   200 |           |      |                     |    |
