
-------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |          Upper level          |Type|
          |          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|-------------------------------|    |
          |           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.            | Term       |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           201.065   |  9900 |           |      |                                |             |      |                  |            |    |
Ir I      |           202.235   |  8700 |           |      |                                |             |      |                  |            |    |
Ir I      |           203.357   | 15000 |           |      |   0.00000     -     6.094891   | 5d7.6s2     | a 4F |                  | 4915*      |    |
Ir I      |           205.222   |  6200 |           |      |                                |             |      |                  |            |    |
Ir I      |           206.064   |  5000 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           208.322   |  3700 |           |      |                                |             |      |                  |            |    |
Ir I      |           208.574   |  3100 |           |      |                                |             |      |                  |            |    |
Ir I      |           208.882   | 17000 |           |      |   0.00000     -     5.933694   | 5d7.6s2     | a 4F |                  | 4785*      |    |
Ir I      |           209.263   | 14000 |           |      |                                |             |      |                  |            |    |
Ir I      |           211.268   |  2700 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           211.954   |  1800 |           |      |                                |             |      |                  |            |    |
Ir I      |           212.544   |  2000 |           |      |                                |             |      |                  |            |    |
Ir II     |           212.681   |  4500 |           |      |   0.00000     -     5.827751   | 5d7.(4F).6s | 5F   | 5d7.(4F<9/2>).6p | (9/2,1/2)* |    |
Ir I      |           212.752   |  2000 |           |      |                                |             |      |                  |            |    |
Ir I      |           212.794   |  4500 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           214.822   |  3700 |           |      |                                |             |      |                  |            |    |
Ir I      |           215.054   |  2500 |           |      |                                |             |      |                  |            |    |
Ir II     |           215.268   |  3500 |           |      |   0.593628    -     6.351291   | 5d7.(4F).6s | 5F   | 5d7.(4F<7/2>).6p | (7/2,1/2)* |    |
Ir I      |           215.581   |  2900 |           |      |                                |             |      |                  |            |    |
Ir I      |           215.805   |  7900 |           |      |   0.351493    -     6.094891   | 5d8.(3F).6s | b 4F |                  | 4915*      |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           216.288   |  2100 |           |      |                                |             |      |                  |            |    |
Ir II     |           216.942   |  5800 |           |      |                                |             |      |                  |            |    |
Ir I      |           217.524   |  4500 |           |      |                                |             |      |                  |            |    |
Ir I      |           217.817   |  2700 |           |      |                                |             |      |                  |            |    |
Ir II     |           218.743   |  1600 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir II     |           219.038   |  1100 |           |      |                                |             |      |                  |            |    |
Ir I      |           219.164   |   740 |           |      |                                |             |      |                  |            |    |
Ir II     |           220.496   |  3000 |           |      |   1.015054    -     6.636285   | 5d7.(4F).6s | 5F   | 5d7.(4F<7/2>).6p | (7/2,1/2)* |    |
