
-------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|------------------------|    |
           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.          | Term  |    |
-------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                |             |      |                |       |    |
           201.065   |  9900 |           |      |                                |             |      |                |       |    |
           202.235   |  8700 |           |      |                                |             |      |                |       |    |
           203.357   | 15000 |           |      |   0.00000     -     6.094891   | 5d7.6s2     | a 4F |                | 4915* |    |
           205.222   |  6200 |           |      |                                |             |      |                |       |    |
           206.064   |  5000 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           208.322   |  3700 |           |      |                                |             |      |                |       |    |
           208.574   |  3100 |           |      |                                |             |      |                |       |    |
           208.882   | 17000 |           |      |   0.00000     -     5.933694   | 5d7.6s2     | a 4F |                | 4785* |    |
           209.263   | 14000 |           |      |                                |             |      |                |       |    |
           211.268   |  2700 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           211.954   |  1800 |           |      |                                |             |      |                |       |    |
           212.544   |  2000 |           |      |                                |             |      |                |       |    |
           212.752   |  2000 |           |      |                                |             |      |                |       |    |
           212.794   |  4500 |           |      |                                |             |      |                |       |    |
           214.822   |  3700 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           215.054   |  2500 |           |      |                                |             |      |                |       |    |
           215.581   |  2900 |           |      |                                |             |      |                |       |    |
           215.805   |  7900 |           |      |   0.351493    -     6.094891   | 5d8.(3F).6s | b 4F |                | 4915* |    |
           216.288   |  2100 |           |      |                                |             |      |                |       |    |
           217.524   |  4500 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           217.817   |  2700 |           |      |                                |             |      |                |       |    |
           219.164   |   740 |           |      |                                |             |      |                |       |    |
           222.037   |  1300 |           |      |                                |             |      |                |       |    |
           225.338   |  2100 |           |      |                                |             |      |                |       |    |
           225.349   |       |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           225.510   |  2100 |           |      |                                |             |      |                |       |    |
           225.581   |  1400 |           |      |                                |             |      |                |       |    |
           225.851   |   350 |           |      |                                |             |      |                |       |    |
           225.886   |  1400 |           |      |                                |             |      |                |       |    |
           226.461   |   830 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           226.633   |  1100 |           |      |                                |             |      |                |       |    |
           226.890   |  1000 |           |      |                                |             |      |                |       |    |
           228.000   |   660 |           |      |                                |             |      |                |       |    |
           228.191   |   660 |           |      |                                |             |      |                |       |    |
           228.460   |   330 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           229.508   |   330 |           |      |                                |             |      |                |       |    |
           229.805   |   790 |           |      |                                |             |      |                |       |    |
           229.816   |       |           |      |                                |             |      |                |       |    |
           229.953   |   460 |           |      |                                |             |      |                |       |    |
           230.050   |   910 |           |      |                                |             |      |                |       |    |
