
----------------------------------------------------------------------------------------------------------------------------------------
                  Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek             |  Lower level  |  Upper level   |Type|
                 Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |---------------|----------------|    |
                  Air (nm)  |       |           |      |                                         | Conf.  | Term | Conf.   | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                            |       |           |      |                                         |        |      |         |      |    |
               299.2108     |     a | 3.15e+03  |      |    0.0000000       -     4.14248529     | 3p6.4s | 2S   | 3p6.10p | 2P*  |    |
               299.2215     |     a | 2.17e+03  |      |    0.0000000       -     4.14234048     | 3p6.4s | 2S   | 3p6.10p | 2P*  |    |
               303.4751     |     a | 6.74e+03  |      |    0.0000000       -     4.08427814     | 3p6.4s | 2S   | 3p6.9p  | 2P*  |    |
               303.4911     |     a | 4.78e+03  |      |    0.0000000       -     4.08406449     | 3p6.4s | 2S   | 3p6.9p  | 2P*  |    |
               310.1791     |     a | 1.62e+04  |      |    0.0000000       -     3.996024       | 3p6.4s | 2S   | 3p6.8p  | 2P*  |    |
                            |       |           |      |                                         |        |      |         |      |    |
               310.2051     |     a | 1.22e+04  |      |    0.0000000       -     3.995693       | 3p6.4s | 2S   | 3p6.8p  | 2P*  |    |
               321.7151     |     a | 4.97e+04  |      |    0.0000000       -     3.852734       | 3p6.4s | 2S   | 3p6.7p  | 2P*  |    |
               321.7615     |     a | 3.98e+04  |      |    0.0000000       -     3.852176       | 3p6.4s | 2S   | 3p6.7p  | 2P*  |    |
               344.6376     |     a | 1.66e+05  |      |    0.0000000       -     3.596498       | 3p6.4s | 2S   | 3p6.6p  | 2P*  |    |
               344.7376     |     a | 1.45e+05  |      |    0.0000000       -     3.595451       | 3p6.4s | 2S   | 3p6.6p  | 2P*  |    |
                            |       |           |      |                                         |        |      |         |      |    |
               364.8841     |     3 |           |      |    0.0000000       -     3.3969371      | 3p6.4s | 2S   | 3p6.4d  | 2D   | E2 |
               364.8981     |     4 |           |      |    0.0000000       -     3.3968045      | 3p6.4s | 2S   | 3p6.4d  | 2D   | E2 |
               404.4136     |    18 | 1.16e+06  |      |    0.0000000       -     3.0649065      | 3p6.4s | 2S   | 3p6.5p  | 2P*  |    |
               404.7208     |    17 | 1.07e+06  |      |    0.0000000       -     3.0625809      | 3p6.4s | 2S   | 3p6.5p  | 2P*  |    |
               464.1876     |    10 | 1.54e+02  |      |    0.0000000       -     2.6702461      | 3p6.4s | 2S   | 3p6.3d  | 2D   | E2 |
                            |       |           |      |                                         |        |      |         |      |    |
               464.2373     |    11 | 1.54e+02  |      |    0.0000000       -     2.6699599      | 3p6.4s | 2S   | 3p6.3d  | 2D   | E2 |
               474.0914     |     4 | 8.0e+04   | C    |    1.6099577731    -     4.22441909     | 3p6.4p | 2P*  | 3p6.13s | 2S   |    |
               474.4345     |     6 | 9.8e+04   | D    |    1.6099577731    -     4.22253443     | 3p6.4p | 2P*  | 3p6.11d | 2D   |    |
               475.3934     |     5 | 1.6e+05   | C    |    1.6171129384    -     4.22441909     | 3p6.4p | 2P*  | 3p6.13s | 2S   |    |
