
----------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |         Lower level         |         Upper level         |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------------|-----------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.             | Term    | Conf.             | Term    |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                   |         |                   |         |    |
           124.7036  |     5 | 6.88e+05  |      |    20.14777    -     30.09005   | 3p5.4s            | 3P*     | 3p5.(2P*<3/2>).6f | 2[3/2]  |    |
           125.8385  |     2 | 8.68e+07  |      |    20.23821    -     30.09100   | 3p5.4s            | 3P*     | 3p5.(2P*<3/2>).6f | 2[3/2]  |    |
           126.1664  |     2 | 2.08e+08  |      |    20.26300    -     30.09005   | 3p5.3d            | 3P*     | 3p5.(2P*<3/2>).6f | 2[3/2]  |    |
           127.8623  |     5 | 3.11e+08  |      |    20.39441    -     30.09100   | 3p5.3d            | 3P*     | 3p5.(2P*<3/2>).6f | 2[3/2]  |    |
           128.4628  |     8 | 5.46e+08  |      |    20.44845    -     30.09979   | 3p5.3d            | 3P*     | 3p5.(2P*<3/2>).6f | 2[5/2]  |    |
                     |       |           |      |                                 |                   |         |                   |         |    |
           128.5786  |     2 | 1.41e+08  |      |    20.44845    -     30.09100   | 3p5.3d            | 3P*     | 3p5.(2P*<3/2>).6f | 2[3/2]  |    |
           129.8693  |     8 | 2.05e+06  |      |    20.14777    -     29.69462   | 3p5.4s            | 3P*     | 3p5.(2P*<1/2>).5f | 2[5/2]  |    |
           133.8358  |     2 | 8.85e+06  |      |    20.14777    -     29.41158   | 3p5.4s            | 3P*     | 3p5.(2P*<3/2>).5f | 2[3/2]  |    |
           134.0909  |     5 | 7.43e+06  |      |    20.44845    -     29.69462   | 3p5.3d            | 3P*     | 3p5.(2P*<1/2>).5f | 2[5/2]  |    |
           134.1233  |    15 | 1.04e+08  |      |    20.44845    -     29.69257   | 3p5.3d            | 3P*     | 3p5.(2P*<1/2>).5f | 2[5/2]  |    |
                     |       |           |      |                                 |                   |         |                   |         |    |
           134.9075  |    15 | 1.02e+07  |      |    20.23821    -     29.42848   | 3p5.4s            | 3P*     | 3p5.(2P*<3/2>).5f | 2[5/2]  |    |
           135.1844  |    10 | 2.76e+07  |      |    20.23821    -     29.40963   | 3p5.4s            | 3P*     | 3p5.(2P*<3/2>).5f | 2[3/2]  |    |
           135.5513  |    20 | 8.08e+07  |      |    20.26300    -     29.40963   | 3p5.3d            | 3P*     | 3p5.(2P*<3/2>).5f | 2[3/2]  |    |
           137.4990  |    25 | 8.35e+07  |      |    20.39441    -     29.41158   | 3p5.3d            | 3P*     | 3p5.(2P*<3/2>).5f | 2[3/2]  |    |
           137.5243  |    40 | 4.32e+07  |      |    20.39441    -     29.40963   | 3p5.3d            | 3P*     | 3p5.(2P*<3/2>).5f | 2[3/2]  |    |
                     |       |           |      |                                 |                   |         |                   |         |    |
           137.5903  |    20 | 1.63e+09  |      |    21.08341    -     30.09452   | 3p5.3d            | 3F*     | 3p5.(2P*<3/2>).6f | 2[9/2]  |    |
