
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level           |           Upper level            |Type|
          |                Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------|----------------------------------|    |
          |                 Vac (nm)  |        |           |      |                                       | Conf.                 | Term    | Conf.                  | Term    |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              100.033      |      8 |           |      |    18.18162       -     30.57610      | 4s.4p4                | 2D      | 4s2.4p2.(3P).5p        | 4S*     |    |
Kr I      |              100.1060639  |     44 |           |      |     0.0000000     -     12.38528299   | 4s2.4p6               | 1S      | 4s2.4p5.(2P*<3/2>).6s  | 2[3/2]* |    |
Kr V      |              100.274      |   20ws |           |      |    23.5916        -     35.9552       | 4s2.4p.4d             | 3F*     | 4s2.4p.5p              | 3D      |    |
Kr VI     |              100.2746     |   20wl |           |      |     1.0055        -     13.3700       | 4s2.4p                | 2P*     | 4s.4p2                 | 4P      |    |
Kr V      |              100.337      |      5 |           |      |    24.058024      -     36.4148       | 4s.4p3                | 1P*     | 4s2.4p.5p              | 3S      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr I      |              100.3550     |     31 |           |      |     0.0000000     -     12.3545552    | 4s2.4p6               | 1S      | 4s2.4p5.(2P*<3/2>).4d  | 2[3/2]* |    |
Kr VII    |              100.550      |      8 |           |      |    59.4696        -     71.8004       | 4p.4d                 | 3F*     | 4s.5d                  | 3D      |    |
Kr IV     |              100.717      |      2 |           |      |    20.60133       -     32.91128      | 4s.4p4                | 2P      | 4s2.4p2.(1D).5p        | 2P*     |    |
Kr VII    |              100.943      |     7d |           |      |    59.4696        -     71.7524       | 4p.4d                 | 3F*     | 4s.5d                  | 3D      |    |
Kr VI     |              101.114      |     8l |           |      |    34.1428        -     46.4047       | 4s2.5s                | 2S      | 4s.4p.(3P*).4d         | 2P*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              101.324      |      1 |           |      |    18.07352       -     30.30991      | 4s.4p4                | 2D      | 4s2.4p2.(3P).5p        | 4P*     |    |
Kr VI     |              101.577      |    11l |           |      |    22.3592        -     34.5652       | 4s.4p2                | 2P      | 4p3                    | 4S*     |    |
Kr V      |              101.622      |     11 |           |      |    23.5916        -     35.7921       | 4s2.4p.4d             | 3F*     | 4s2.4p.5p              | 3P      |    |
Kr V      |              101.844      |     11 |           |      |    23.9226        -     36.0965       | 4s2.4p.4d             | 3F*     | 4s2.4p.5p              | 3P      |    |
Kr IV     |              101.909      |     4d |           |      |    18.07352       -     30.23960      | 4s.4p4                | 2D      | 4s2.4p2.(3P).5p        | 2D*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              102.228      |      8 |           |      |    18.18162       -     30.30991      | 4s.4p4                | 2D      | 4s2.4p2.(3P).5p        | 4P*     |    |
Kr IV     |              102.824      |     3d |           |      |    18.18162       -     30.23960      | 4s.4p4                | 2D      | 4s2.4p2.(3P).5p        | 2D*     |    |
