
-------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level       |         Upper level         |Type|
             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |------------------------|-----------------------------|    |
              Vac (nm)  |        |           |      |                                     | Conf.           | Term | Conf.               | Term  |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                        |        |           |      |                                     |                 |      |                     |       |    |
             133.0948   |      0 |           |      |    13.514322     -     22.829785    | 4s.4p6          | 2S   | 4s2.4p4.(3P<2>).6f  | 2[1]* |    |
             133.1402   |      0 |           |      |    13.514322     -     22.826633    | 4s.4p6          | 2S   | 4s2.4p4.(3P<2>).6f  | 2[1]* |    |
             141.3894   |      0 |           |      |    14.904124     -     23.673112    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<2>).9f  | 2[4]* |    |
             142.2512   |      1 |           |      |    13.988922     -     22.704841    | 4s2.4p4.(3P).5s | 4P   | 4s2.4p4.(3P<1>).5f  | 2[3]* |    |
             143.5085   |      3 |           |      |    13.514322     -     22.153798    | 4s.4p6          | 2S   | 4s2.4p4.(3P<2>).5f  | 2[1]* |    |
                        |        |           |      |                                     |                 |      |                     |       |    |
             143.5676   |      1 |           |      |    13.514322     -     22.150247    | 4s.4p6          | 2S   | 4s2.4p4.(3P<2>).5f  | 2[1]* |    |
             144.4343   |      3 |           |      |    14.904124     -     23.488247    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<2>).8f  | 2[4]* |    |
             146.4072   |      1 |           |      |    14.904124     -     23.372565    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<1>).6f  | 2[4]* |    |
             146.6460   |      0 |           |      |    14.931036     -     23.385682    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<1>).6f  | 2[3]* |    |
             146.8021   |    0bl |           |      |    14.931036     -     23.376600    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<1>).6f  | 2[4]* |    |
                        |        |           |      |                                     |                 |      |                     |       |    |
             149.0928   |      1 |           |      |    14.904124     -     23.220031    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<2>).7f  | 2[4]* |    |
             149.1104   |      6 |           |      |    14.904124     -     23.219036    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<2>).7f  | 2[4]* |    |
             149.5769   |      3 |           |      |    14.931036     -     23.220031    | 4s2.4p4.(3P).4d | 4D   | 4s2.4p4.(3P<2>).7f  | 2[4]* |    |
             151.4585   |      0 |           |      |    15.622110     -     23.808128    | 4s2.4p4.(3P).4d | 4F   | 4s2.4p4.(3P<2>).10f | 2[5]* |    |
             152.5486   |      0 |           |      |    14.6889478    -     22.816487    | 4s2.4p4.(3P).5s | 2P   | 4s2.4p4.(3P<2>).6f  | 2[3]* |    |
                        |        |           |      |                                     |                 |      |                     |       |    |
             153.9075   |      0 |           |      |    15.622110     -     23.677870    | 4s2.4p4.(3P).4d | 4F   | 4s2.4p4.(3P<2>).9f  | 2[5]* |    |
