
------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level       |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------------|------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.           | Term | Conf.           | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                 |      |                 |      |    |
           100.033   |     8 |           |      |    18.18162    -     30.57610   | 4s.4p4          | 2D   | 4s2.4p2.(3P).5p | 4S*  |    |
           100.717   |     2 |           |      |    20.60133    -     32.91128   | 4s.4p4          | 2P   | 4s2.4p2.(1D).5p | 2P*  |    |
           101.324   |     1 |           |      |    18.07352    -     30.30991   | 4s.4p4          | 2D   | 4s2.4p2.(3P).5p | 4P*  |    |
           101.909   |    4d |           |      |    18.07352    -     30.23960   | 4s.4p4          | 2D   | 4s2.4p2.(3P).5p | 2D*  |    |
           102.228   |     8 |           |      |    18.18162    -     30.30991   | 4s.4p4          | 2D   | 4s2.4p2.(3P).5p | 4P*  |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           102.824   |    3d |           |      |    18.18162    -     30.23960   | 4s.4p4          | 2D   | 4s2.4p2.(3P).5p | 2D*  |    |
           104.912   |     8 |           |      |    20.26461    -     32.08255   | 4s2.4p2.(3P).4d | 2P   | 4s2.4p2.(1D).5p | 2D*  |    |
           105.362   |    4d |           |      |    20.26461    -     32.03199   | 4s2.4p2.(3P).4d | 2P   | 4s2.4p2.(1D).5p | 2D*  |    |
           107.4640  |     9 |           |      |     3.85050    -     15.38764   | 4s2.4p3         | 2P*  | 4s.4p4          | 4P   |    |
           109.295   |     7 |           |      |    21.56731    -     32.91128   | 4s.4p4          | 2S   | 4s2.4p2.(1D).5p | 2P*  |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           110.2485  |     1 |           |      |     4.14177    -     15.38764   | 4s2.4p3         | 2P*  | 4s.4p4          | 4P   |    |
           112.098   |     5 |           |      |    21.56731    -     32.62769   | 4s.4p4          | 2S   | 4s2.4p2.(1D).5p | 2P*  |    |
           112.290   |     3 |           |      |    18.07352    -     29.11495   | 4s.4p4          | 2D   | 4s2.4p2.(3P).5p | 2S*  |    |
           112.3328  |     9 |           |      |     4.14177    -     15.17895   | 4s2.4p3         | 2P*  | 4s.4p4          | 4P   |    |
           115.302   |     9 |           |      |    20.26461    -     31.01760   | 4s2.4p2.(3P).4d | 2P   | 4s2.4p2.(3P).5p | 2P*  |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           116.603   |     4 |           |      |    20.26461    -     30.89763   | 4s2.4p2.(3P).4d | 2P   | 4s2.4p2.(3P).5p | 2D*  |    |
           117.1568  |     9 |           |      |     4.14177    -     14.72455   | 4s2.4p3         | 2P*  | 4s.4p4          | 4P   |    |
           118.015   |    10 |           |      |    20.60133    -     31.10722   | 4s.4p4          | 2P   | 4s2.4p2.(3P).5p | 2P*  |    |
           118.418   |    1d |           |      |    22.44120    -     32.91128   | 4s2.4p2.(3P).4d | 4D   | 4s2.4p2.(1D).5p | 2P*  |    |
