
------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek        |   Lower level    |   Upper level    |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)       |------------------|------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.     | Term | Conf.     | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |           |      |           |      |    |
            100.274  |  20ws |           |      |    23.5916      -     35.9552   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 3D   |    |
            100.337  |     5 |           |      |    24.058024    -     36.4148   | 4s.4p3    | 1P*  | 4s2.4p.5p | 3S   |    |
            101.622  |    11 |           |      |    23.5916      -     35.7921   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 3P   |    |
            101.844  |    11 |           |      |    23.9226      -     36.0965   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 3P   |    |
            103.040  |    12 |           |      |    23.9226      -     35.9552   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 3D   |    |
                     |       |           |      |                                 |           |      |           |      |    |
            107.069  |   15w |           |      |    23.5916      -     35.1715   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 3D   |    |
            107.204  |  12bl |           |      |    23.5916      -     35.1568   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 1P   |    |
            110.219  |   12w |           |      |    23.9226      -     35.1715   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 3D   |    |
            111.709  |    3d |           |      |    24.058024    -     35.1568   | 4s.4p3    | 1P*  | 4s2.4p.5p | 1P   |    |
            112.804  |     7 |           |      |    23.5916      -     34.5827   | 4s2.4p.4d | 3F*  | 4s2.4p.5p | 3D   |    |
                     |       |           |      |                                 |           |      |           |      |    |
            120.963  |    10 |           |      |    26.524294    -     36.7737   | 4s2.4p.4d | 3P*  | 4s2.4p.5p | 1D   |    |
            121.407  |    10 |           |      |    26.202394    -     36.4148   | 4s2.4p.4d | 3P*  | 4s2.4p.5p | 3S   |    |
            125.312  |  10bl |           |      |    26.202394    -     36.0965   | 4s2.4p.4d | 3P*  | 4s2.4p.5p | 3P   |    |
            125.354  |    12 |           |      |    26.524294    -     36.4148   | 4s2.4p.4d | 3P*  | 4s2.4p.5p | 3S   |    |
            125.432  |   12w |           |      |    26.889015    -     36.7737   | 4s2.4p.4d | 1D*  | 4s2.4p.5p | 1D   |    |
                     |       |           |      |                                 |           |      |           |      |    |
            127.128  |    6d |           |      |    26.202394    -     35.9552   | 4s2.4p.4d | 3P*  | 4s2.4p.5p | 3D   |    |
            128.447  |     7 |           |      |    27.121147    -     36.7737   | 4s2.4p.4d | 3D*  | 4s2.4p.5p | 1D   |    |
            129.287  |  10bl |           |      |    26.202394    -     35.7921   | 4s2.4p.4d | 3P*  | 4s2.4p.5p | 3P   |    |
            129.508  |    10 |           |      |    27.199847    -     36.7737   | 4s2.4p.4d | 3D*  | 4s2.4p.5p | 1D   |    |
            130.158  |    10 |           |      |    26.889015    -     36.4148   | 4s2.4p.4d | 1D*  | 4s2.4p.5p | 3S   |    |
                     |       |           |      |                                 |           |      |           |      |    |
