
------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek        |  Lower level  |      Upper level      |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)       |---------------|-----------------------|    |
           Vac (nm)  |       |           |      |                               | Conf.  | Term | Conf.          | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                               |        |      |                |      |    |
           100.2746  |  20wl |           |      |     1.0055    -     13.3700   | 4s2.4p | 2P*  | 4s.4p2         | 4P   |    |
           101.114   |    8l |           |      |    34.1428    -     46.4047   | 4s2.5s | 2S   | 4s.4p.(3P*).4d | 2P*  |    |
           101.577   |   11l |           |      |    22.3592    -     34.5652   | 4s.4p2 | 2P   | 4p3            | 4S*  |    |
           104.523   |   30w |           |      |    22.3592    -     34.2210   | 4s.4p2 | 2P   | 4p3            | 2D*  |    |
           105.295   |    15 |           |      |    22.7904    -     34.5652   | 4s.4p2 | 2P   | 4p3            | 4S*  |    |
                     |       |           |      |                               |        |      |                |      |    |
           106.1069  |   75w |           |      |    22.7904    -     34.4753   | 4s.4p2 | 2P   | 4p3            | 2D*  |    |
           181.745   |     8 |           |      |    27.6534    -     34.4753   | 4s2.4d | 2D   | 4p3            | 2D*  |    |
           195.020   |   50w |           |      |    34.1428    -     40.5003   | 4s2.5s | 2S   | 4s2.5p         | 2P*  |    |
------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek        |  Lower level  |      Upper level      |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)       |---------------|-----------------------|    |
           Air (nm)  |       |           |      |                               | Conf.  | Term | Conf.          | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                               |        |      |                |      |    |
           205.106   |  100w |           |      |    34.1428    -     40.1858   | 4s2.5s | 2S   | 4s2.5p         | 2P*  |    |
