
---------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek        |  Lower level  |  Upper level  |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)       |---------------|---------------|    |
          Vac (nm)  |       |           |      |                               | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                               |        |      |        |      |    |
           105.941  |    20 |           |      |    67.7798    -     79.4833   | 5p     | 2P*  | 5d     | 2D   |    |
           109.677  |    11 |           |      |    68.2464    -     79.5504   | 5p     | 2P*  | 5d     | 2D   |    |
           115.760  |    4* |           |      |    90.8917    -    101.6023   | 5g     | 2G   | 6h     | 2H*  |    |
           115.760  |    4* |           |      |    90.8919    -    101.6023   | 5g     | 2G   | 6h     | 2H*  |    |
           115.760  |    4* |           |      |    90.8919    -    101.6023   | 5g     | 2G   | 6h     | 2H*  |    |
                    |       |           |      |                               |        |      |        |      |    |
           119.159  |     2 |           |      |    79.4833    -     89.8884   | 5d     | 2D   | 5f     | 2F*  |    |
           119.922  |     8 |           |      |    79.5504    -     89.8890   | 5d     | 2D   | 5f     | 2F*  |    |
           126.768  |     7 |           |      |    69.7697    -     79.5504   | 4f     | 2F*  | 5d     | 2D   |    |
           127.694  |     6 |           |      |    69.7740    -     79.4833   | 4f     | 2F*  | 5d     | 2D   |    |
           165.678  |     5 |           |      |    60.7630    -     68.2464   | 5s     | 2S   | 5p     | 2P*  |    |
                    |       |           |      |                               |        |      |        |      |    |
           176.699  |     4 |           |      |    60.7630    -     67.7798   | 5s     | 2S   | 5p     | 2P*  |    |
           191.67   |     * |           |      |   101.5515    -    108.0201   | 6g     | 2G   | 7h     | 2H*  |    |
           191.67   |     * |           |      |   101.5515    -    108.0201   | 6g     | 2G   | 7h     | 2H*  |    |
           191.67   |     * |           |      |   101.5515    -    108.0201   | 6g     | 2G   | 7h     | 2H*  |    |
           192.910  |    2* |           |      |   101.6023    -    108.0294   | 6h     | 2H*  | 7i     | 2I   |    |
                    |       |           |      |                               |        |      |        |      |    |
           192.910  |    2* |           |      |   101.6023    -    108.0294   | 6h     | 2H*  | 7i     | 2I   |    |
           192.910  |    2* |           |      |   101.6023    -    108.0294   | 6h     | 2H*  | 7i     | 2I   |    |
---------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek        |  Lower level  |  Upper level  |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)       |---------------|---------------|    |
          Air (nm)  |       |           |      |                               | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                               |        |      |        |      |    |
           206.86   |       |           |      |    89.3423    -     95.3338   | 6p     | 2P*  | 6d     | 2D   |    |
           212.56   |       |           |      |   107.5043    -    113.3354   | 8p     | 2P*  | 9d     | 2D   |    |
           213.74   |       |           |      |    89.5750    -     95.3745   | 6p     | 2P*  | 6d     | 2D   |    |
           215.23   |     * |           |      |    89.5750    -     95.3338   | 6p     | 2P*  | 6d     | 2D   |    |
           215.23   |     * |           |      |   107.5867    -    113.3455   | 8p     | 2P*  | 9d     | 2D   |    |
