
-----------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |  Rel. |     Aki    | Acc. |                Ei           Ek               |   Lower level   |   Upper level   |Type|
          |                Wavelength |  Int. |     s^-1   |      |               (eV)         (eV)              |-----------------|-----------------|    |
          |                 Vac (nm)  |       |            |      |                                              | Conf.    | Term | Conf.    | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |       |            |      |                                              |          |      |          |      |    |
Li II     |            101.8          |     * | 1.3551e+08 | AAA  |    61.280572          -     73.461141        | 1s.2p    | 3P*  | 1s.5d    | 3D   |    |
Li II     |            101.8          |     * | 7.5298e+07 | AAA  |    61.280572          -     73.461093        | 1s.2p    | 3P*  | 1s.5d    | 3D   |    |
Li II     |            101.8          |     * | 1.8072e+08 | AAA  |    61.280854          -     73.461223        | 1s.2p    | 3P*  | 1s.5d    | 3D   |    |
Li II     |            101.8          |     * | 4.5171e+07 | AAA  |    61.280854          -     73.461141        | 1s.2p    | 3P*  | 1s.5d    | 3D   |    |
Li II     |            101.8          |     * | 5.0201e+06 | AAA  |    61.280854          -     73.461093        | 1s.2p    | 3P*  | 1s.5d    | 3D   |    |
          |                           |       |            |      |                                              |          |      |          |      |    |
Li II     |            101.8          |     * | 1.0041e+08 | AAA  |    61.281242          -     73.461093        | 1s.2p    | 3P*  | 1s.5d    | 3D   |    |
Li II     |            103.2          |     * | 1.6829e+07 | AAA  |    61.280572          -     73.297503        | 1s.2p    | 3P*  | 1s.5s    | 3S   |    |
Li II     |            103.2          |     * | 2.8050e+07 | AAA  |    61.280854          -     73.297503        | 1s.2p    | 3P*  | 1s.5s    | 3S   |    |
Li II     |            103.2          |     * | 5.6105e+06 | AAA  |    61.281242          -     73.297503        | 1s.2p    | 3P*  | 1s.5s    | 3S   |    |
Li II     |            103.6          |       |            |      |                                              |          |      |          |      |    |
          |                           |       |            |      |                                              |          |      |          |      |    |
Li II     |            109.3          |       | 1.3549e+08 | AAA  |    60.92268           -     72.261721        | 1s.2s    | 1S   | 1s.4p    | 1P*  |    |
Li II     |            110.3          |       | 1.4050e+08 | AAA  |    62.216333          -     73.462423        | 1s.2p    | 1P*  | 1s.5d    | 1D   |    |
Li II     |            110.9          |       | 3.9137e+07 | AAA  |    62.216333          -     73.397347        | 1s.2p    | 1P*  | 1s.5s    | 1S   |    |
Li II     |            113.21         |       | 2.1375e+08 | AAA  |    61.281242          -     72.234805        | 1s.2p    | 3P*  | 1s.4d    | 3D   |    |
Li II     |            114.1          |       |            |      |                                              |          |      |          |      |    |
          |                           |       |            |      |                                              |          |      |          |      |    |
Li II     |            116.64         |       | 3.5100e+07 | AAA  |    61.280572          -     71.908517        | 1s.2p    | 3P*  | 1s.4s    | 3S   |    |
Li II     |            119.809        |     * | 2.8968e+08 | AAA  |    59.020813          -     69.369444        | 1s.2s    | 3S   | 1s.3p    | 3P*  |    |
Li II     |            119.809        |     * | 2.8968e+08 | AAA  |    59.020813          -     69.369332        | 1s.2s    | 3S   | 1s.3p    | 3P*  |    |
