
-------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |     Aki    | Acc. |          Ei           Ek          |   Lower level   |   Upper level   |Type|
          Wavelength |  Int. |     s^-1   |      |         (eV)         (eV)         |-----------------|-----------------|    |
           Air (nm)  |       |            |      |                                   | Conf.    | Term | Conf.    | Term |    |
-------------------------------------------------------------------------------------------------------------------------------
                     |       |            |      |                                   |          |      |          |      |    |
           203.9     |       |            |      |                                   |          |      |          |      |    |
           217.34    |     * |            |      |    57.469       -     63.180      | 1s.2s.2p | 4P*  | 1s.2s.4s | 4S   |    |
           217.34    |     * |            |      |    57.469       -     63.180      | 1s.2s.2p | 4P*  | 1s.2s.4s | 4S   |    |
           217.34    |     * |            |      |    57.469       -     63.180      | 1s.2s.2p | 4P*  | 1s.2s.4s | 4S   |    |
           230.459   |     * |            |      |     0.00000     -      5.378225   | 1s2.2s   | 2S   | 1s2.32p  | 2P*  |    |
                     |       |            |      |                                   |          |      |          |      |    |
           230.459   |     * |            |      |     0.00000     -      5.378225   | 1s2.2s   | 2S   | 1s2.32p  | 2P*  |    |
           230.492   |     * |            |      |     0.00000     -      5.377450   | 1s2.2s   | 2S   | 1s2.31p  | 2P*  |    |
           230.492   |     * |            |      |     0.00000     -      5.377450   | 1s2.2s   | 2S   | 1s2.31p  | 2P*  |    |
           230.536   |     * |            |      |     0.00000     -      5.376415   | 1s2.2s   | 2S   | 1s2.30p  | 2P*  |    |
           230.536   |     * |            |      |     0.00000     -      5.376415   | 1s2.2s   | 2S   | 1s2.30p  | 2P*  |    |
                     |       |            |      |                                   |          |      |          |      |    |
           230.583   |     * |            |      |     0.00000     -      5.375324   | 1s2.2s   | 2S   | 1s2.29p  | 2P*  |    |
           230.583   |     * |            |      |     0.00000     -      5.375324   | 1s2.2s   | 2S   | 1s2.29p  | 2P*  |    |
           230.629   |     * |            |      |     0.00000     -      5.374267   | 1s2.2s   | 2S   | 1s2.28p  | 2P*  |    |
           230.629   |     * |            |      |     0.00000     -      5.374267   | 1s2.2s   | 2S   | 1s2.28p  | 2P*  |    |
           230.682   |     * |            |      |     0.00000     -      5.373029   | 1s2.2s   | 2S   | 1s2.27p  | 2P*  |    |
                     |       |            |      |                                   |          |      |          |      |    |
           230.682   |     * |            |      |     0.00000     -      5.373029   | 1s2.2s   | 2S   | 1s2.27p  | 2P*  |    |
           230.744   |     * |            |      |     0.00000     -      5.371592   | 1s2.2s   | 2S   | 1s2.26p  | 2P*  |    |
           230.744   |     * |            |      |     0.00000     -      5.371592   | 1s2.2s   | 2S   | 1s2.26p  | 2P*  |    |
           230.897   |     * |            |      |     0.00000     -      5.368023   | 1s2.2s   | 2S   | 1s2.24p  | 2P*  |    |
           230.897   |     * |            |      |     0.00000     -      5.368023   | 1s2.2s   | 2S   | 1s2.24p  | 2P*  |    |
                     |       |            |      |                                   |          |      |          |      |    |
           230.988   |     * |            |      |     0.00000     -      5.365907   | 1s2.2s   | 2S   | 1s2.23p  | 2P*  |    |
           230.988   |     * |            |      |     0.00000     -      5.365907   | 1s2.2s   | 2S   | 1s2.23p  | 2P*  |    |
