
------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level  |     Upper level      |Type|
          |         Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |---------------|----------------------|    |
          |          Vac (nm)  |        |           |      |                                 | Conf.  | Term | Conf.         | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu III    |           100.118  |    400 |           |      |                                 |        |      |               |      |    |
Lu IV     |           101.518  |    300 |           |      |                                 |        |      |               |      |    |
Lu III    |           102.240  |      1 |           |      |                                 |        |      |               |      |    |
Lu III    |           102.983  |    100 |           |      |                                 |        |      |               |      |    |
Lu III    |           103.033  |    200 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu III    |           103.154  |    100 |           |      |                                 |        |      |               |      |    |
Lu III    |           105.653  |     50 |           |      |                                 |        |      |               |      |    |
Lu III    |           106.199  |     20 |           |      |                                 |        |      |               |      |    |
Lu III    |           109.284  |      3 |           |      |                                 |        |      |               |      |    |
Lu IV     |           113.617  |     20 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu III    |           118.734  |    200 |           |      |                                 |        |      |               |      |    |
Lu IV     |           118.927  |     50 |           |      |                                 |        |      |               |      |    |
Lu IV     |           119.459  |    20p |           |      |                                 |        |      |               |      |    |
Lu IV     |           121.308  |     60 |           |      |                                 |        |      |               |      |    |
Lu IV     |           122.074  |     15 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu IV     |           122.375  |     20 |           |      |                                 |        |      |               |      |    |
Lu III    |           122.87   |     50 |           |      |                                 |        |      |               |      |    |
Lu IV     |           124.007  |     20 |           |      |                                 |        |      |               |      |    |
Lu IV     |           124.810  |     20 |           |      |                                 |        |      |               |      |    |
Lu IV     |           126.627  |     40 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu IV     |           127.242  |    100 |           |      |                                 |        |      |               |      |    |
Lu IV     |           127.302  |     20 |           |      |                                 |        |      |               |      |    |
Lu IV     |           127.477  |     40 |           |      |                                 |        |      |               |      |    |
Lu IV     |           127.654  |     20 |           |      |                                 |        |      |               |      |    |
Lu III    |           127.753  |    200 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu III    |           128.341  |     30 |           |      |                                 |        |      |               |      |    |
Lu IV     |           128.938  |     50 |           |      |                                 |        |      |               |      |    |
Lu IV     |           131.008  |     60 |           |      |                                 |        |      |               |      |    |
Lu IV     |           132.302  |     50 |           |      |                                 |        |      |               |      |    |
Lu IV     |           133.104  |     15 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu III    |           133.193  |    100 |           |      |                                 |        |      |               |      |    |
Lu IV     |           133.379  |    800 |           |      |                                 |        |      |               |      |    |
Lu IV     |           133.494  |    300 |           |      |                                 |        |      |               |      |    |
Lu IV     |           133.820  |     50 |           |      |                                 |        |      |               |      |    |
