
-----------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |  Lower level  |     Upper level      |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |---------------|----------------------|    |
          Air (nm)  |       |           |      |                                | Conf.  | Term | Conf.         | Term |    |
-----------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                |        |      |               |      |    |
           254.944  |    20 |           |      |                                |        |      |               |      |    |
           254.972  |    20 |           |      |                                |        |      |               |      |    |
           267.725  |   90w |           |      |                                |        |      |               |      |    |
           268.508  |  570w |           |      |                                |        |      |               |      |    |
           268.554  |   90w |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           271.591  |   90w |           |      |                                |        |      |               |      |    |
           271.909  | 180bl |           |      |                                |        |      |               |      |    |
           272.895  |  480w |           |      |                                |        |      |               |      |    |
           276.574  |  750w |           |      |                                |        |      |               |      |    |
           284.513  |  330w |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           288.514  |  570w |           |      |                                |        |      |               |      |    |
           290.305  |   300 |           |      |                                |        |      |               |      |    |
           294.973  |  270w |           |      |                                |        |      |               |      |    |
           298.927  |  1800 |           |      |                                |        |      |               |      |    |
           308.011  |   390 |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           308.147  | 5100w | 2.62e+08  |      |   0.247215    -     4.269580   | 5d.6s2 | 2D   | 5d.6s.(3D).6p | 2P*  |    |
           311.843  |  3000 | 2.03e+08  |      |   0.00000     -     3.974698   | 5d.6s2 | 2D   | 5d.6s.(3D).6p | 2P*  |    |
           317.136  |  2400 |           |      |                                |        |      |               |      |    |
           327.897  |  3800 | 1.00e+08  |      |   0.00000     -     3.780107   | 5d.6s2 | 2D   | 6s2.7p        | 2P*  |    |
           328.174  |  7600 | 3.05e+08  |      |   0.247215    -     4.024118   | 5d.6s2 | 2D   | 5d.6s.(1D).6p | 2D*  |    |
                    |       |           |      |                                |        |      |               |      |    |
           331.211  |  6200 | 1.85e+08  |      |   0.00000     -     3.742283   | 5d.6s2 | 2D   | 5d.6s.(3D).6p | 2F*  |    |
           335.956  |  7600 | 2.44e+08  |      |   0.247215    -     3.936643   | 5d.6s2 | 2D   | 5d.6s.(3D).6p | 2F*  |    |
           337.650  |  6200 | 1.68e+08  |      |   0.00000     -     3.670925   | 5d.6s2 | 2D   | 5d.6s.(1D).6p | 2D*  |    |
           338.550  |   950 |           |      |                                |        |      |               |      |    |
           339.155  |  160w |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           339.682  |  1400 |           |      |                                |        |      |               |      |    |
           350.842  |  1600 |           |      |                                |        |      |               |      |    |
           356.784  |  4800 | 6.9e+07   |      |   0.00000     -     3.474051   | 5d.6s2 | 2D   | 5d.6s.(1D).6p | 2F*  |    |
           359.634  |   340 |           |      |                                |        |      |               |      |    |
           362.031  |   170 | 1.1e+06   |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           363.625  |   680 |           |      |                                |        |      |               |      |    |
