
------------------------------------------------------------------------------------------------------------------------
          Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level  |  Upper level  |Type|
         Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |---------------|---------------|    |
          Air (nm)  |        |           |      |                                 | Conf.  | Term | Conf.  | Term |    |
------------------------------------------------------------------------------------------------------------------------
                    |        |           |      |                                 |        |      |        |      |    |
           219.554  |  1700w | 7.14e+07  |      |    0.00000     -     5.645289   | 6s2    | 1S   | 5d.6p  | 3D*  |    |
           227.694  |     95 |           |      |                                 |        |      |        |      |    |
           229.741  |    190 |           |      |                                 |        |      |        |      |    |
           239.219  |   1300 |           |      |                                 |        |      |        |      |    |
           239.914  |    120 |           |      |                                 |        |      |        |      |    |
                    |        |           |      |                                 |        |      |        |      |    |
           241.921  |     80 |           |      |                                 |        |      |        |      |    |
           243.026  |     55 |           |      |                                 |        |      |        |      |    |
           245.964  |    130 |           |      |                                 |        |      |        |      |    |
           246.927  |     80 |           |      |                                 |        |      |        |      |    |
           248.172  |    21w |           |      |                                 |        |      |        |      |    |
                    |        |           |      |                                 |        |      |        |      |    |
           253.695  |    370 |           |      |                                 |        |      |        |      |    |
           254.687  |     40 |           |      |                                 |        |      |        |      |    |
           256.180  |     35 |           |      |                                 |        |      |        |      |    |
           257.123  |    930 |           |      |                                 |        |      |        |      |    |
           257.879  |   1700 |           |      |                                 |        |      |        |      |    |
                    |        |           |      |                                 |        |      |        |      |    |
           258.213  |    80w |           |      |                                 |        |      |        |      |    |
           261.340  |   1800 |           |      |                                 |        |      |        |      |    |
           261.542  |  18000 | 4.53e+08  |      |    0.00000     -     4.739109   | 6s2    | 1S   | 6s.6p  | 1P*  |    |
           261.926  |   1800 |           |      |                                 |        |      |        |      |    |
           265.780  |   2700 |           |      |                                 |        |      |        |      |    |
                    |        |           |      |                                 |        |      |        |      |    |
           270.171  |   4200 |           |      |    1.760461    -     6.348196   | 5d.6s  | 3D   | 5d.6p  | 3P*  |    |
           273.817  |    75c |           |      |                                 |        |      |        |      |    |
           275.417  |   3600 | 9.2e+07   |      |    1.541783    -     6.042145   | 5d.6s  | 3D   | 5d.6p  | 3D*  |    |
           279.663  |   2700 |           |      |                                 |        |      |        |      |    |
           282.123  |     35 |           |      |                                 |        |      |        |      |    |
                    |        |           |      |                                 |        |      |        |      |    |
           283.435  |   270c |           |      |                                 |        |      |        |      |    |
           284.751  |   3000 |           |      |                                 |        |      |        |      |    |
           289.484  |   6300 | 1.66e+08  |      |    1.760461    -     6.042145   | 5d.6s  | 3D   | 5d.6p  | 3D*  |    |
           290.030  |   4500 |           |      |    1.541783    -     5.815402   | 5d.6s  | 3D   | 5d.6p  | 3D*  |    |
           291.139  |   9000 | 2.42e+08  |      |    1.760461    -     6.017800   | 5d.6s  | 3D   | 5d.6p  | 3F*  |    |
                    |        |           |      |                                 |        |      |        |      |    |
           295.169  |   1200 |           |      |                                 |        |      |        |      |    |
           295.578  |     60 |           |      |                                 |        |      |        |      |    |
           296.332  |   4200 |           |      |    1.462547    -     5.645289   | 5d.6s  | 3D   | 5d.6p  | 3D*  |    |
