
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           100.118  |   400 |           |      |                     |    |
           102.240  |     1 |           |      |                     |    |
           102.983  |   100 |           |      |                     |    |
           103.033  |   200 |           |      |                     |    |
           103.154  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           105.653  |    50 |           |      |                     |    |
           106.199  |    20 |           |      |                     |    |
           109.284  |     3 |           |      |                     |    |
           118.734  |   200 |           |      |                     |    |
           122.87   |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           127.753  |   200 |           |      |                     |    |
           128.341  |    30 |           |      |                     |    |
           133.193  |   100 |           |      |                     |    |
           185.457  |  1000 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           205.072  |    40 |           |      |                     |    |
           206.535  |  1500 |           |      |                     |    |
           207.056  | 1500c |           |      |                     |    |
           208.334  |   100 |           |      |                     |    |
           209.944  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           223.614  |  1000 |           |      |                     |    |
           223.622  |  2000 |           |      |                     |    |
           238.159  |  500c |           |      |                     |    |
           256.351  |   300 |           |      |                     |    |
           260.335  | 4500c |           |      |                     |    |
                    |       |           |      |                     |    |
           272.165  |   200 |           |      |                     |    |
           277.255  |  2000 |           |      |                     |    |
           278.116  |    20 |           |      |                     |    |
           278.837  |    10 |           |      |                     |    |
           280.090  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           299.321  |   20p |           |      |                     |    |
           305.786  |  1000 |           |      |                     |    |
           425.144  |   200 |           |      |                     |    |
           427.191  |   300 |           |      |                     |    |
           449.000  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           495.643  |   400 |           |      |                     |    |
           504.612  |    10 |           |      |                     |    |
           514.586  |  150c |           |      |                     |    |
           541.942  |    70 |           |      |                     |    |
           551.988  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           552.680  |     5 |           |      |                     |    |
           574.871  |     5 |           |      |                     |    |
           578.646  |    70 |           |      |                     |    |
           586.971  |    80 |           |      |                     |    |
           588.976  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           619.796  |   300 |           |      |                     |    |
           619.813  |   600 |           |      |                     |    |
           730.995  |   100 |           |      |                     |    |
           731.025  |   200 |           |      |                     |    |
           753.427  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           793.645  |   70l |           |      |                     |    |
           800.859  |     3 |           |      |                     |    |
