
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           101.518  |   300 |           |      |                     |    |
           113.617  |    20 |           |      |                     |    |
           118.927  |    50 |           |      |                     |    |
           119.459  |   20p |           |      |                     |    |
           121.308  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.074  |    15 |           |      |                     |    |
           122.375  |    20 |           |      |                     |    |
           124.007  |    20 |           |      |                     |    |
           124.810  |    20 |           |      |                     |    |
           126.627  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           127.242  |   100 |           |      |                     |    |
           127.302  |    20 |           |      |                     |    |
           127.477  |    40 |           |      |                     |    |
           127.654  |    20 |           |      |                     |    |
           128.938  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           131.008  |    60 |           |      |                     |    |
           132.302  |    50 |           |      |                     |    |
           133.104  |    15 |           |      |                     |    |
           133.379  |   800 |           |      |                     |    |
           133.494  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           133.820  |    50 |           |      |                     |    |
           133.949  |   100 |           |      |                     |    |
           134.258  |   300 |           |      |                     |    |
           135.168  |   200 |           |      |                     |    |
           135.374  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           135.585  |   200 |           |      |                     |    |
           135.967  |    20 |           |      |                     |    |
           136.324  |   100 |           |      |                     |    |
           136.337  |    50 |           |      |                     |    |
           136.734  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           137.354  |    20 |           |      |                     |    |
           137.536  |    15 |           |      |                     |    |
           137.602  |   100 |           |      |                     |    |
           137.956  |    30 |           |      |                     |    |
           138.318  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           138.985  |    15 |           |      |                     |    |
           139.007  |    60 |           |      |                     |    |
           139.030  |   200 |           |      |                     |    |
           139.069  |    50 |           |      |                     |    |
           139.238  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           139.718  |    40 |           |      |                     |    |
           140.132  |    30 |           |      |                     |    |
           140.146  |   100 |           |      |                     |    |
           140.664  |   200 |           |      |                     |    |
           140.700  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           140.704  |   250 |           |      |                     |    |
           142.032  |    20 |           |      |                     |    |
           142.159  |   100 |           |      |                     |    |
           142.908  |   200 |           |      |                     |    |
           142.938  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           143.080  |    40 |           |      |                     |    |
           144.062  |   100 |           |      |                     |    |
           144.814  |   100 |           |      |                     |    |
           145.233  |   200 |           |      |                     |    |
           146.265  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           148.379  |   100 |           |      |                     |    |
           149.324  |   200 |           |      |                     |    |
           151.126  |   400 |           |      |                     |    |
           152.106  |   200 |           |      |                     |    |
           152.221  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           153.777  |   100 |           |      |                     |    |
           154.935  |    30 |           |      |                     |    |
           155.159  |    20 |           |      |                     |    |
           156.206  |    20 |           |      |                     |    |
           159.255  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           159.492  |    15 |           |      |                     |    |
           160.772  |  100c |           |      |                     |    |
           163.165  |   50c |           |      |                     |    |
           168.450  |    20 |           |      |                     |    |
           169.367  |   60c |           |      |                     |    |
                    |       |           |      |                     |    |
           172.142  |  400c |           |      |                     |    |
           172.514  |   100 |           |      |                     |    |
           173.579  |  100c |           |      |                     |    |
           173.678  |   100 |           |      |                     |    |
           174.174  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           174.384  |   50c |           |      |                     |    |
           175.260  |   40c |           |      |                     |    |
           175.961  |   200 |           |      |                     |    |
           177.208  |   300 |           |      |                     |    |
           177.257  |   600 |           |      |                     |    |
                    |       |           |      |                     |    |
           178.245  |   200 |           |      |                     |    |
           179.752  |   100 |           |      |                     |    |
           190.163  |   20c |           |      |                     |    |
           198.392  |   100 |           |      |                     |    |
           199.052  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           199.618  |    40 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           200.318  |   100 |           |      |                     |    |
           202.094  |   100 |           |      |                     |    |
           207.110  |    20 |           |      |                     |    |
           208.109  |   100 |           |      |                     |    |
           208.570  |  400c |           |      |                     |    |
                    |       |           |      |                     |    |
           208.647  |  600c |           |      |                     |    |
           209.216  |  400c |           |      |                     |    |
           210.363  |   100 |           |      |                     |    |
           210.441  | 1000c |           |      |                     |    |
           210.785  |  200c |           |      |                     |    |
                    |       |           |      |                     |    |
           210.831  | 1000c |           |      |                     |    |
           212.743  |  100c |           |      |                     |    |
