
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           142.002  |   50w |           |      |                     |    |
           143.250  |    50 |           |      |                     |    |
           143.277  |   100 |           |      |                     |    |
           144.176  |   200 |           |      |                     |    |
           144.364  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           144.814  |   100 |           |      |                     |    |
           144.932  |    40 |           |      |                     |    |
           145.036  |   100 |           |      |                     |    |
           145.069  |   100 |           |      |                     |    |
           145.264  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           145.335  |   200 |           |      |                     |    |
           145.438  |   100 |           |      |                     |    |
           145.521  |   100 |           |      |                     |    |
           146.011  |   100 |           |      |                     |    |
           146.781  |   40c |           |      |                     |    |
                    |       |           |      |                     |    |
           146.899  |   200 |           |      |                     |    |
           146.945  |    50 |           |      |                     |    |
           147.120  |   100 |           |      |                     |    |
           147.212  |   400 |           |      |                     |    |
           147.371  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           147.577  |    40 |           |      |                     |    |
           148.558  |   200 |           |      |                     |    |
           170.902  |    50 |           |      |                     |    |
           172.890  |    40 |           |      |                     |    |
           177.592  |   50c |           |      |                     |    |
                    |       |           |      |                     |    |
           177.768  |   40c |           |      |                     |    |
           178.471  |   40c |           |      |                     |    |
           178.625  |  100c |           |      |                     |    |
           178.758  |   60c |           |      |                     |    |
           179.385  |   60c |           |      |                     |    |
                    |       |           |      |                     |    |
           180.973  |    60 |           |      |                     |    |
           181.424  |    60 |           |      |                     |    |
