
--------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |         Upper level         |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------------|-----------------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.                 | Term | Conf.                | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                       |      |                      |      |    |
           102.5962   |   14g | 3.43e+06  | B    |     0.0         -     12.084605   | 2p6.3s                | 2S   | 2p6.5p               | 2P*  |    |
           102.6108   |   12g | 3.63e+06  | B    |     0.0         -     12.082894   | 2p6.3s                | 2S   | 2p6.5p               | 2P*  |    |
           123.9936   |   25g | 1.35e+06  | C    |     0.0         -      9.999328   | 2p6.3s                | 2S   | 2p6.4p               | 2P*  |    |
           124.0399   |   20g | 1.52e+06  | C    |     0.0         -      9.995544   | 2p6.3s                | 2S   | 2p6.4p               | 2P*  |    |
           124.8511   |     6 | 3.83e+06  | B    |     4.422431    -     14.353029   | 2p6.3p                | 2P*  | 2p6.10s              | 2S   |    |
                      |       |           |      |                                   |                       |      |                      |      |    |
           124.9932   |     8 | 7.64e+06  | B    |     4.433784    -     14.353029   | 2p6.3p                | 2P*  | 2p6.10s              | 2S   |    |
           127.1243   |     8 | 1.23e+06  | C    |     4.422431    -     14.175453   | 2p6.3p                | 2P*  | 2p6.8d               | 2D   |    |
           127.1943   |     9 | 4.49e+06  | C+   |     4.422431    -     14.170074   | 2p6.3p                | 2P*  | 2p6.9s               | 2S   |    |
           127.2725   |     8 | 1.44e+06  | C+   |     4.433784    -     14.175445   | 2p6.3p                | 2P*  | 2p6.8d               | 2D   |    |
           127.3427   |    11 | 8.97e+06  | C+   |     4.433784    -     14.170074   | 2p6.3p                | 2P*  | 2p6.9s               | 2S   |    |
                      |       |           |      |                                   |                       |      |                      |      |    |
           130.6711   |    11 | 2.19e+06  | C+   |     4.422431    -     13.910676   | 2p6.3p                | 2P*  | 2p6.7d               | 2D   |    |
           130.7877   |    12 | 6.72e+06  | C+   |     4.422431    -     13.902248   | 2p6.3p                | 2P*  | 2p6.8s               | 2S   |    |
           130.8282   |    12 | 2.58e+06  | C+   |     4.433784    -     13.910661   | 2p6.3p                | 2P*  | 2p6.7d               | 2D   |    |
           130.9439   |    14 | 1.34e+07  | C+   |     4.433784    -     13.902248   | 2p6.3p                | 2P*  | 2p6.8s               | 2S   |    |
           136.5545   |    14 | 4.53e+06  | B+   |     4.422431    -     13.501903   | 2p6.3p                | 2P*  | 2p6.6d               | 2D   |    |
                      |       |           |      |                                   |                       |      |                      |      |    |
           136.7260   |    15 | 5.35e+06  | B+   |     4.433784    -     13.501881   | 2p6.3p                | 2P*  | 2p6.6d               | 2D   |    |
           136.7704   |    15 | 1.08e+07  | C+   |     4.422431    -     13.487537   | 2p6.3p                | 2P*  | 2p6.7s               | 2S   |    |
           136.9425   |    18 | 2.17e+07  | B    |     4.433784    -     13.487537   | 2p6.3p                | 2P*  | 2p6.7s               | 2S   |    |
