
-------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |           Lower level           |           Upper level            |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |---------------------------------|----------------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.                 | Term    | Conf.                 | Term     |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                       |         |                       |          |    |
           122.9389  |     2 | 5.72e+07  | D+   |    57.94755    -     68.03269   | 2s2.2p5.3p            | 3S      | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]*  |    |
           123.9827  |   2bl | 1.82e+08  | C    |    57.94755    -     67.94760   | 2s2.2p5.3p            | 3S      | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]*  |    |
           126.3375  |     3 |           |      |    57.94755    -     67.76128   | 2s2.2p5.3p            | 3S      | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]*  |    |
           127.1784  |     1 |           |      |    65.76377    -     75.51263   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<1/2>).5f | 2[5/2]   |    |
           127.4831  |    10 | 2.53e+08  | B    |    57.94755    -     67.67310   | 2s2.2p5.3p            | 3S      | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]*  |    |
                     |       |           |      |                                 |                       |         |                       |          |    |
           128.0702  |    1d |           |      |    65.83101    -     75.51198   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<1/2>).5f | 2[5/2]   |    |
           130.659   |    bl |           |      |    65.73372    -     75.22283   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   |    |
           130.8654  |    1d |           |      |    65.76377    -     75.23791   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   |    |
           131.0271  |     1 |           |      |    66.04957    -     75.51200   | 2s2.2p5.3d            | 3F*     | 2s2.2p5.(2P*<1/2>).5f | 2[7/2]   |    |
           131.0633  |   3bl |           |      |    65.76377    -     75.22362   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   |    |
                     |       |           |      |                                 |                       |         |                       |          |    |
           131.0720  |     1 |           |      |    65.76377    -     75.22283   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   |    |
           131.450   |    bl |           |      |    66.08000    -     75.51204   | 2s2.2p5.3d            | 1F*     | 2s2.2p5.(2P*<1/2>).5f | 2[7/2]   |    |
           131.8078  |     4 |           |      |    65.83101    -     75.23741   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   |    |
           132.0022  |     2 |           |      |    65.83101    -     75.22362   | 2s2.2p5.3d            | 3P*     | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   |    |
           132.7512  |    2d |           |      |    65.90541    -     75.24499   | 2s2.2p5.3d            | 3F*     | 2s2.2p5.(2P*<3/2>).5f | 2[7/2]   |    |
                     |       |           |      |                                 |                       |         |                       |          |    |
