
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           110.816  |    20 |           |      |                     |    |
           118.330  |    30 |           |      |                     |    |
           118.386  |   25w |           |      |                     |    |
           119.849  |    30 |           |      |                     |    |
           121.980  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.897  |   100 |           |      |                     |    |
           128.358  |   500 |           |      |                     |    |
           128.759  |   400 |           |      |                     |    |
           129.162  |   300 |           |      |                     |    |
           136.072  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           136.520  |   800 |           |      |                     |    |
           136.943  |   400 |           |      |                     |    |
           137.165  |   300 |           |      |                     |    |
           159.695  |   300 |           |      |                     |    |
           160.917  |  500w |           |      |                     |    |
                    |       |           |      |                     |    |
           161.414  |  1000 |           |      |                     |    |
           162.060  |  2000 |           |      |                     |    |
           162.391  |   300 |           |      |                     |    |
           162.912  |   400 |           |      |                     |    |
           163.380  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           164.746  |   250 |           |      |                     |    |
           165.357  |   400 |           |      |                     |    |
           180.406  |   400 |           |      |                     |    |
           180.647  |   300 |           |      |                     |    |
           181.102  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           187.762  |   400 |           |      |                     |    |
           188.521  |   300 |           |      |                     |    |
           194.128  |   500 |           |      |                     |    |
           194.289  |  250w |           |      |                     |    |
           194.321  |   800 |           |      |                     |    |
                    |       |           |      |                     |    |
           195.236  |   500 |           |      |                     |    |
           195.252  |  1000 |           |      |                     |    |
           195.661  |   300 |           |      |                     |    |
           196.204  |   250 |           |      |                     |    |
           197.895  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           198.276  |   400 |           |      |                     |    |
           198.959  |   400 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           202.219  |   300 |           |      |                     |    |
           202.783  | 1000w |           |      |                     |    |
           202.814  |  500w |           |      |                     |    |
           204.457  |   300 |           |      |                     |    |
           204.893  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           204.968  |   500 |           |      |                     |    |
           205.680  |   300 |           |      |                     |    |
           206.638  |   500 |           |      |                     |    |
           206.902  |  1000 |           |      |                     |    |
           207.738  |   900 |           |      |                     |    |
                    |       |           |      |                     |    |
           207.813  |   300 |           |      |                     |    |
           208.423  |   800 |           |      |                     |    |
           209.005  |   600 |           |      |                     |    |
           209.025  |   300 |           |      |                     |    |
           209.414  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           209.478  |   500 |           |      |                     |    |
           209.793  |   500 |           |      |                     |    |
           209.997  |   500 |           |      |                     |    |
           212.325  |   300 |           |      |                     |    |
           216.978  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           217.415  |   700 |           |      |                     |    |
           217.687  |   900 |           |      |                     |    |
           218.186  |   800 |           |      |                     |    |
           218.487  |   800 |           |      |                     |    |
           218.513  |   600 |           |      |                     |    |
                    |       |           |      |                     |    |
           221.195  |   400 |           |      |                     |    |
           221.242  |   600 |           |      |                     |    |
           221.521  |   800 |           |      |                     |    |
           222.055  |   900 |           |      |                     |    |
           222.742  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           328.749  |   100 |           |      |                     |    |
           354.052  |   100 |           |      |                     |    |
           360.172  |   150 |           |      |                     |    |
           361.600  |   100 |           |      |                     |    |
           424.617  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           507.920  |   200 |           |      |                     |    |
           510.003  |   150 |           |      |                     |    |
           511.703  |   100 |           |      |                     |    |
           525.223  |   100 |           |      |                     |    |
           536.559  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           545.407  |   150 |           |      |                     |    |
           547.468  |   200 |           |      |                     |    |
           567.112  |   100 |           |      |                     |    |
           594.665  |   200 |           |      |                     |    |
           621.311  |  100s |           |      |                     |    |
                    |       |           |      |                     |    |
           623.121  |   200 |           |      |                     |    |
           623.864  |   100 |           |      |                     |    |
           627.371  |   100 |           |      |                     |    |
