
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           124.225  |    90 |           |      |                     |    |
           124.450  |    90 |           |      |                     |    |
           124.773  |    85 |           |      |                     |    |
           125.193  |    95 |           |      |                     |    |
           125.728  |    95 |           |      |                     |    |
                    |       |           |      |                     |    |
           126.441  |    90 |           |      |                     |    |
           160.360  |    70 |           |      |                     |    |
           161.110  |    70 |           |      |                     |    |
           165.383  |    75 |           |      |                     |    |
           165.639  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           165.925  |    70 |           |      |                     |    |
           166.473  |    75 |           |      |                     |    |
           166.700  |   80b |           |      |                     |    |
           167.008  |    70 |           |      |                     |    |
           169.168  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           169.315  |    75 |           |      |                     |    |
           169.830  |    80 |           |      |                     |    |
           169.870  |    75 |           |      |                     |    |
           169.906  |    70 |           |      |                     |    |
           170.743  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           171.867  |    65 |           |      |                     |    |
           172.052  |   75b |           |      |                     |    |
           172.074  |    75 |           |      |                     |    |
           172.141  |    75 |           |      |                     |    |
           172.294  |    65 |           |      |                     |    |
                    |       |           |      |                     |    |
           172.483  |    75 |           |      |                     |    |
           174.210  |   85b |           |      |                     |    |
           175.159  |    85 |           |      |                     |    |
           175.982  |    75 |           |      |                     |    |
           176.217  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           176.294  |    75 |           |      |                     |    |
           176.627  |  85bl |           |      |                     |    |
           176.709  |    75 |           |      |                     |    |
           177.211  |    65 |           |      |                     |    |
           177.351  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           178.221  |    75 |           |      |                     |    |
           178.602  |    75 |           |      |                     |    |
           178.704  |    75 |           |      |                     |    |
           178.738  |    75 |           |      |                     |    |
           178.864  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           179.044  |    75 |           |      |                     |    |
           179.565  |    80 |           |      |                     |    |
           179.579  |    80 |           |      |                     |    |
           190.703  |    60 |           |      |                     |    |
           191.025  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           199.754  |    65 |           |      |                     |    |
