
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |      Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level           |           Upper level           |Type|
          |           Wavelength |      Int. |    s^-1   |      |         (eV)         (eV)         |---------------------------------|---------------------------------|    |
          |            Vac (nm)  |           |           |      |                                   | Conf.                 | Term    | Conf.                 | Term    |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo VII    |           100.0019   |       160 |           |      |    59.235666    -     71.633839   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[1/2]  |    |
Mo VII    |           100.1237   |        80 |           |      |    59.235666    -     71.618738   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[3/2]  |    |
Mo VI     |           101.1184   |      4000 | 1.80e+08  |      |    42.22539332  -     54.48673322 | 4p6.6p                | 2P*     | 4p6.7d                | 2D      |    |
Mo VII    |           101.9216   |        80 |           |      |    69.873489    -     82.038256   | 4s.4p6.4d             | 1D      | 4s2.4p5.(2P*<3/2>).5d | 2[7/2]* |    |
Mo VII    |           101.9257   |       100 |           |      |    69.873489    -     82.037670   | 4s.4p6.4d             | 1D      | 4s2.4p5.(2P*<3/2>).5d | 2[3/2]* |    |
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo VI     |           101.9743   |     4000* | 3.46e+08  |      |    48.99660777  -     61.15499739 | 4p6.5g                | 2G      | 4p6.8h                | 2H*     |    |
Mo VI     |           101.9743   |     4000* | 3.38e+08  |      |    48.99623953  -     61.1546     | 4p6.5g                | 2G      | 4p6.8h                | 2H*     |    |
Mo VI     |           102.9565   |      2000 | 1.85e+08  |      |    42.47232768  -     54.51476853 | 4p6.6p                | 2P*     | 4p6.7d                | 2D      |    |
Mo VII    |           103.7905   |        80 |           |      |    59.673095    -     71.618738   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[3/2]  |    |
Mo VI     |           103.8642   |   3000000 | 4.87e+09  |      |    23.22610642  -     35.16327353 | 4p6.5p                | 2P*     | 4p6.5d                | 2D      |    |
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo VI     |           104.7184   |    600000 | 7.92e+08  |      |    23.22610642  -     35.06590254 | 4p6.5p                | 2P*     | 4p6.5d                | 2D      |    |
Mo VII    |           111.9037   |        20 |           |      |    59.673095    -     70.752665   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[3/2]  |    |
Mo VII    |           116.5508   |       180 |           |      |    59.235666    -     69.873489   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s.4p6.4d             | 1D      |    |
Mo III    |           116.607    |        50 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           116.933    |       100 |           |      |                                   |                       |         |                       |         |    |
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo III    |           117.367    |        50 |           |      |                                   |                       |         |                       |         |    |
