
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           201.511  | 19000 |           |      |                     |    |
           202.030  | 40000 |           |      |                     |    |
           203.844  | 21000 |           |      |                     |    |
           204.598  | 17000 |           |      |                     |    |
           208.168  |  4800 |           |      |                     |    |
                    |       |           |      |                     |    |
           208.952  |  2400 |           |      |                     |    |
           209.250  |  2200 |           |      |                     |    |
           209.311  |  4000 |           |      |                     |    |
           210.084  |  2700 |           |      |                     |    |
           210.429  |  1500 |           |      |                     |    |
                    |       |           |      |                     |    |
           210.802  |  1400 |           |      |                     |    |
           226.969  |   400 |           |      |                     |    |
           230.425  |   160 |           |      |                     |    |
           230.697  |   160 |           |      |                     |    |
           233.212  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           234.159  |   190 |           |      |                     |    |
           235.542  |    80 |           |      |                     |    |
           236.609  |    50 |           |      |                     |    |
           238.920  |   110 |           |      |                     |    |
           240.361  |   140 |           |      |                     |    |
                    |       |           |      |                     |    |
           240.466  |    80 |           |      |                     |    |
           241.284  |    40 |           |      |                     |    |
           241.301  |   120 |           |      |                     |    |
           241.796  |    80 |           |      |                     |    |
           241.901  |    65 |           |      |                     |    |
                    |       |           |      |                     |    |
           242.018  |    80 |           |      |                     |    |
           242.400  |    70 |           |      |                     |    |
           243.596  |    65 |           |      |                     |    |
           244.028  |    65 |           |      |                     |    |
           246.181  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           246.668  |    50 |           |      |                     |    |
           246.697  |    50 |           |      |                     |    |
           246.878  |    50 |           |      |                     |    |
           247.004  |    30 |           |      |                     |    |
           247.757  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           248.257  |    65 |           |      |                     |    |
           248.475  |    40 |           |      |                     |    |
           249.624  |    24 |           |      |                     |    |
           249.828  |    85 |           |      |                     |    |
           250.044  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           250.284  |    65 |           |      |                     |    |
           251.180  |    50 |           |      |                     |    |
           251.508  |    65 |           |      |                     |    |
           252.714  |    70 |           |      |                     |    |
           253.034  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           253.231  |    70 |           |      |                     |    |
           253.846  |   440 |           |      |                     |    |
           253.944  |    50 |           |      |                     |    |
           254.267  |   330 |           |      |                     |    |
           254.361  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           255.542  |    65 |           |      |                     |    |
           255.675  |    40 |           |      |                     |    |
           255.888  |    80 |           |      |                     |    |
           256.208  |    65 |           |      |                     |    |
           256.434  |    85 |           |      |                     |    |
                    |       |           |      |                     |    |
           256.626  |    40 |           |      |                     |    |
           257.145  |    20 |           |      |                     |    |
           257.442  |    50 |           |      |                     |    |
           257.656  |    40 |           |      |                     |    |
           257.836  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           258.595  |    30 |           |      |                     |    |
           258.878  |    65 |           |      |                     |    |
           259.177  |    40 |           |      |                     |    |
           259.370  |   250 |           |      |                     |    |
           259.738  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           260.280  |   250 |           |      |                     |    |
           260.508  |    40 |           |      |                     |    |
           260.593  |    40 |           |      |                     |    |
           261.934  |    70 |           |      |                     |    |
           263.667  |   330 |           |      |                     |    |
                    |       |           |      |                     |    |
           263.876  |   720 |           |      |                     |    |
           264.435  |   600 |           |      |                     |    |
           264.649  |   370 |           |      |                     |    |
           265.335  |   480 |           |      |                     |    |
           266.058  |   640 |           |      |                     |    |
                    |       |           |      |                     |    |
           267.183  |    55 |           |      |                     |    |
           267.284  |   720 |           |      |                     |    |
           267.327  |   250 |           |      |                     |    |
           268.136  |    95 |           |      |                     |    |
           268.323  |   640 |           |      |                     |    |
                    |       |           |      |                     |    |
           268.414  |   880 |           |      |                     |    |
           268.799  |   560 |           |      |                     |    |
           269.261  |    30 |           |      |                     |    |
           269.522  |    55 |           |      |                     |    |
           269.683  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           269.941  |    55 |           |      |                     |    |
           270.142  |   480 |           |      |                     |    |
           270.187  |    30 |           |      |                     |    |
           270.493  |    30 |           |      |                     |    |
           271.019  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           271.149  |    30 |           |      |                     |    |
           271.235  |    50 |           |      |                     |    |
           271.351  |   190 |           |      |                     |    |
           271.735  |   290 |           |      |                     |    |
           272.697  |    85 |           |      |                     |    |
                    |       |           |      |                     |    |
           272.968  |   140 |           |      |                     |    |
           273.020  |    80 |           |      |                     |    |
           273.288  |   330 |           |      |                     |    |
           273.696  |   160 |           |      |                     |    |
           273.788  |   80w |           |      |                     |    |
                    |       |           |      |                     |    |
           273.860  |    50 |           |      |                     |    |
           274.132  |    40 |           |      |                     |    |
           274.162  |    55 |           |      |                     |    |
           274.630  |   290 |           |      |                     |    |
           275.607  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           275.863  |  65bl |           |      |                     |    |
           276.053  |    20 |           |      |                     |    |
           276.362  |   220 |           |      |                     |    |
           276.976  |   240 |           |      |                     |    |
           277.378  |   160 |           |      |                     |    |
                    |       |           |      |                     |    |
           277.439  |   190 |           |      |                     |    |
           277.540  |  1700 |           |      |                     |    |
           277.786  |    65 |           |      |                     |    |
           278.004  |   880 |           |      |                     |    |
           278.499  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           279.154  |    40 |           |      |                     |    |
           280.776  |   400 |           |      |                     |    |
           281.258  |    28 |           |      |                     |    |
           281.467  |    24 |           |      |                     |    |
           281.615  |  1700 |           |      |                     |    |
                    |       |           |      |                     |    |
           281.744  |   220 |           |      |                     |    |
           282.203  |    50 |           |      |                     |    |
           282.774  |    80 |           |      |                     |    |
           283.144  |    40 |           |      |                     |    |
           283.207  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           283.439  |    80 |           |      |                     |    |
           283.533  |    80 |           |      |                     |    |
           284.215  |   160 |           |      |                     |    |
           284.373  |    24 |           |      |                     |    |
           284.823  |  1700 |           |      |                     |    |
                    |       |           |      |                     |    |
           285.323  |   370 |           |      |                     |    |
           285.600  |    50 |           |      |                     |    |
           286.320  |    24 |           |      |                     |    |
           286.381  |   370 |           |      |                     |    |
           286.562  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           286.669  |   220 |           |      |                     |    |
           286.811  |    40 |           |      |                     |    |
           286.832  |    40 |           |      |                     |    |
           287.151  |  1700 |           |      |                     |    |
           287.288  |    85 |           |      |                     |    |
                    |       |           |      |                     |    |
           287.905  |   220 |           |      |                     |    |
           288.815  |    65 |           |      |                     |    |
           289.099  |  1300 |           |      |                     |    |
           289.128  |    95 |           |      |                     |    |
           289.281  |   190 |           |      |                     |    |
                    |       |           |      |                     |    |
