
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           116.607  |    50 |           |      |                     |    |
           116.933  |   100 |           |      |                     |    |
           117.367  |    50 |           |      |                     |    |
           120.960  |    50 |           |      |                     |    |
           122.546  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           123.034  |    50 |           |      |                     |    |
           123.463  |    50 |           |      |                     |    |
           123.610  |    30 |           |      |                     |    |
           125.493  |   100 |           |      |                     |    |
           125.852  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           126.221  |   100 |           |      |                     |    |
           126.374  |   100 |           |      |                     |    |
           127.437  |   100 |           |      |                     |    |
           127.494  |    50 |           |      |                     |    |
           127.640  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           127.740  |   200 |           |      |                     |    |
           127.758  |   200 |           |      |                     |    |
           127.806  |   100 |           |      |                     |    |
           127.840  |   200 |           |      |                     |    |
           128.190  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           128.360  |   150 |           |      |                     |    |
           128.642  |   100 |           |      |                     |    |
           128.807  |    50 |           |      |                     |    |
           128.825  |    50 |           |      |                     |    |
           129.049  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           129.982  |   100 |           |      |                     |    |
           130.558  |    50 |           |      |                     |    |
           143.737  |    50 |           |      |                     |    |
           145.238  |    50 |           |      |                     |    |
           153.486  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           175.122  |    50 |           |      |                     |    |
           176.057  |    50 |           |      |                     |    |
           180.760  |    50 |           |      |                     |    |
           185.473  |   100 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           216.519  |    75 |           |      |                     |    |
           217.057  |    75 |           |      |                     |    |
           217.246  |    50 |           |      |                     |    |
           217.937  |    75 |           |      |                     |    |
           218.437  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           221.102  |   100 |           |      |                     |    |
           222.319  |    50 |           |      |                     |    |
           225.318  |   100 |           |      |                     |    |
           226.971  |   150 |           |      |                     |    |
           227.547  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           227.564  |    50 |           |      |                     |    |
           229.497  |   200 |           |      |                     |    |
           230.426  |    80 |           |      |                     |    |
           232.675  |    50 |           |      |                     |    |
           233.093  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           235.976  |   100 |           |      |                     |    |
           238.696  |    80 |           |      |                     |    |
           240.361  |    50 |           |      |                     |    |
           241.271  |    70 |           |      |                     |    |
           242.218  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           250.619  |   200 |           |      |                     |    |
           259.713  |    90 |           |      |                     |    |
           275.606  |    50 |           |      |                     |    |
           280.774  |   100 |           |      |                     |    |
           294.732  |   125 |           |      |                     |    |
                    |       |           |      |                     |    |
           298.394  |    75 |           |      |                     |    |
           325.470  |    80 |           |      |                     |    |
           327.169  |   200 |           |      |                     |    |
