
-------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |      Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level        |        Upper level        |Type|
           Wavelength |      Int. |    s^-1   |      |         (eV)         (eV)         |---------------------------|---------------------------|    |
            Vac (nm)  |           |           |      |                                   | Conf.              | Term | Conf.              | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                      |           |           |      |                                   |                    |      |                    |      |    |
           101.1184   |      4000 | 1.80e+08  |      |    42.22539332  -     54.48673322 | 4p6.6p             | 2P*  | 4p6.7d             | 2D   |    |
           101.9743   |     4000* | 3.46e+08  |      |    48.99660777  -     61.15499739 | 4p6.5g             | 2G   | 4p6.8h             | 2H*  |    |
           101.9743   |     4000* | 3.38e+08  |      |    48.99623953  -     61.1546     | 4p6.5g             | 2G   | 4p6.8h             | 2H*  |    |
           102.9565   |      2000 | 1.85e+08  |      |    42.47232768  -     54.51476853 | 4p6.6p             | 2P*  | 4p6.7d             | 2D   |    |
           103.8642   |   3000000 | 4.87e+09  |      |    23.22610642  -     35.16327353 | 4p6.5p             | 2P*  | 4p6.5d             | 2D   |    |
                      |           |           |      |                                   |                    |      |                    |      |    |
           104.7184   |    600000 | 7.92e+08  |      |    23.22610642  -     35.06590254 | 4p6.5p             | 2P*  | 4p6.5d             | 2D   |    |
           118.2143   |   1000000 | 3.14e+09  |      |    35.16327353  -     45.65137166 | 4p6.5d             | 2D   | 4p6.5f             | 2F*  |    |
           121.5397   |    800000 | 2.37e+09  |      |    35.06590254  -     45.26705165 | 4p6.5d             | 2D   | 4p6.5f             | 2F*  |    |
           122.4529   |       150 | 6.10e+08  |      |    47.87842905  -     58.00349774 | 4p6.6d             | 2D   | 4p6.7f             | 2F*  |    |
           122.7102   |      8000 | 1.64e+08  |      |    35.16327353  -     45.26705165 | 4p6.5d             | 2D   | 4p6.5f             | 2F*  |    |
                      |           |           |      |                                   |                    |      |                    |      |    |
           122.8620   |       400 | 6.49e+08  |      |    47.92635761  -     58.01771005 | 4p6.6d             | 2D   | 4p6.7f             | 2F*  |    |
           124.9595   |      5000 | 1.41e+08  |      |    39.07429910  -     48.99623953 | 4p5.(2P*).4d2.(3F) | 4F*  | 4p6.5g             | 2G   |    |
           126.4017   |     10000 | 7.16e+08  |      |    48.99623953  -     58.80520309 | 4p6.5g             | 2G   | 4p6.7h             | 2H*  |    |
           126.4052   |     12000 | 8.78e+08  |      |    48.99660777  -     58.80520309 | 4p6.5g             | 2G   | 4p6.7h             | 2H*  |    |
           126.8495   |      3000 | 3.14e+08  |      |    45.26705165  -     55.04124012 | 4p6.5f             | 2F*  | 4p6.6g             | 2G   |    |
                      |           |           |      |                                   |                    |      |                    |      |    |
           127.0520   |     4000* | 5.10e+07  |      |    39.23809090  -     48.99660777 | 4p5.(2P*).4d2.(3F) | 2F*  | 4p6.5g             | 2G   |    |
           127.0520   |     4000* | 1.82e+06  |      |    39.23809090  -     48.99623953 | 4p5.(2P*).4d2.(3F) | 2F*  | 4p6.5g             | 2G   |    |
           132.0351   |    150000 | 5.12e+08  |      |    45.65137166  -     55.04166663 | 4p6.5f             | 2F*  | 4p6.6g             | 2G   |    |
