
---------------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level           |           Upper level           |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------------------------|---------------------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.                 | Term    | Conf.                 | Term    |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                       |         |                       |         |    |
            100.0019  |   160 |           |      |    59.235666    -     71.633839   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[1/2]  |    |
            100.1237  |    80 |           |      |    59.235666    -     71.618738   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[3/2]  |    |
            101.9216  |    80 |           |      |    69.873489    -     82.038256   | 4s.4p6.4d             | 1D      | 4s2.4p5.(2P*<3/2>).5d | 2[7/2]* |    |
            101.9257  |   100 |           |      |    69.873489    -     82.037670   | 4s.4p6.4d             | 1D      | 4s2.4p5.(2P*<3/2>).5d | 2[3/2]* |    |
            103.7905  |    80 |           |      |    59.673095    -     71.618738   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[3/2]  |    |
                      |       |           |      |                                   |                       |         |                       |         |    |
            111.9037  |    20 |           |      |    59.673095    -     70.752665   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[3/2]  |    |
            116.5508  |   180 |           |      |    59.235666    -     69.873489   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s.4p6.4d             | 1D      |    |
            118.3323  |   160 |           |      |    59.673095    -     70.150734   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<3/2>).5p | 2[1/2]  |    |
            118.9952  |       |           |      |    72.533990    -     82.953247   | 4s2.4p5.(2P*<1/2>).5p | 2[1/2]  | 4s2.4p5.(2P*<3/2>).5d | 2[3/2]* |    |
            121.5483  |   120 |           |      |    59.673095    -     69.873489   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s.4p6.4d             | 1D      |    |
                      |       |           |      |                                   |                       |         |                       |         |    |
            121.8134  |   200 |           |      |    62.355776    -     72.533990   | 4s2.4p5.(2P*<1/2>).5s | 2[1/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[1/2]  |    |
            125.5186  |   600 |           |      |    59.235666    -     69.113437   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<3/2>).5p | 2[3/2]  |    |
            129.6225  |   400 |           |      |    62.068812    -     71.633839   | 4s2.4p5.(2P*<1/2>).5s | 2[1/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[1/2]  |    |
            130.4917  |   200 |           |      |    59.235666    -     68.736962   | 4s2.4p5.(2P*<3/2>).5s | 2[3/2]* | 4s2.4p5.(2P*<3/2>).5p | 2[3/2]  |    |
