
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |         Lower level         |         Upper level         |Type|
          |            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-----------------------------|-----------------------------|    |
          |             Vac (nm)  |       |           |      |                                     | Conf.                | Term | Conf.                | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |       |           |      |                                     |                      |      |                      |      |    |
N IV      |             103.616   |  150w |           |      |                                     |                      |      |                      |      |    |
N I       |             106.7614  |    90 | 3.53e+07  | C    |     2.3835297    -     13.9967290   | 2s2.2p3              | 2D*  | 2s2.2p2.(3P).5d      | 2F   |    |
N I       |             106.8612  |    60 | 3.28e+07  | C    |     2.3846099    -     13.9869690   | 2s2.2p3              | 2D*  | 2s2.2p2.(3P).5d      | 2F   |    |
N IV      |             107.871   |    90 | 1.22e+09  | B    |    53.20901      -     64.70274     | 1s2.2s.3d            | 1D   | 1s2.2s.4f            | 1F*  |    |
N II      |             108.3990  |   450 | 2.10e+08  | A    |     0.0000       -     11.43776     | 2s2.2p2              | 3P   | 2s.2p3               | 3D*  |    |
          |                       |       |           |      |                                     |                      |      |                      |      |    |
N II      |             108.4580  |   600 | 2.82e+08  | A    |     0.00604      -     11.43758     | 2s2.2p2              | 3P   | 2s.2p3               | 3D*  |    |
N II      |             108.5546  |   430 | 9.10e+07  | A    |     0.01622      -     11.43758     | 2s2.2p2              | 3P   | 2s.2p3               | 3D*  |    |
N II      |             108.5701  |   650 | 3.72e+08  | A    |     0.01622      -     11.43595     | 2s2.2p2              | 3P   | 2s.2p3               | 3D*  |    |
N I       |             109.7237  |   175 | 6.35e+07  | C    |     2.3835297    -     13.6832008   | 2s2.2p3              | 2D*  | 2s2.2p2.(3P).4d      | 2F   |    |
N I       |             109.8095  |   115 |           |      |                                     |                      |      |                      |      |    |
          |                       |       |           |      |                                     |                      |      |                      |      |    |
N I       |             109.8260  |   115 | 5.91e+07  | C    |     2.3846099    -     13.6737585   | 2s2.2p3              | 2D*  | 2s2.2p2.(3P).4d      | 2F   |    |
N I       |             110.0360  |   105 | 3.60e+07  | D+   |     2.3835297    -     13.6511350   | 2s2.2p3              | 2D*  | 2s2.2p2.(3P).5s      | 2P   |    |
N I       |             110.0465  |    40 | 4.00e+06  | D+   |     2.3846099    -     13.6511350   | 2s2.2p3              | 2D*  | 2s2.2p2.(3P).5s      | 2P   |    |
N I       |             110.1291  |    90 | 3.99e+07  | D+   |     2.3846099    -     13.6426899   | 2s2.2p3              | 2D*  | 2s2.2p2.(3P).5s      | 2P   |    |
N I       |             113.4165  |   360 | 1.51e+08  | B    |     0.000000     -     10.9317570   | 2s2.2p3              | 4S*  | 2s.2p4               | 4P   |    |
          |                       |       |           |      |                                     |                      |      |                      |      |    |
N I       |             113.4415  |   385 | 1.49e+08  | B    |     0.000000     -     10.9293517   | 2s2.2p3              | 4S*  | 2s.2p4               | 4P   |    |
N I       |             113.4980  |   410 | 1.44e+08  | B    |     0.000000     -     10.9239075   | 2s2.2p3              | 4S*  | 2s.2p4               | 4P   |    |
