
-----------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |      Lower level       |      Upper level       |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |------------------------|------------------------|    |
             Vac (nm)  |       |           |      |                                    | Conf.           | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                    |                 |      |                 |      |    |
             106.7614  |    90 | 3.53e+07  | C    |    2.3835297    -     13.9967290   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).5d | 2F   |    |
             106.8612  |    60 | 3.28e+07  | C    |    2.3846099    -     13.9869690   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).5d | 2F   |    |
             109.7237  |   175 | 6.35e+07  | C    |    2.3835297    -     13.6832008   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).4d | 2F   |    |
             109.8095  |   115 |           |      |                                    |                 |      |                 |      |    |
             109.8260  |   115 | 5.91e+07  | C    |    2.3846099    -     13.6737585   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).4d | 2F   |    |
                       |       |           |      |                                    |                 |      |                 |      |    |
             110.0360  |   105 | 3.60e+07  | D+   |    2.3835297    -     13.6511350   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).5s | 2P   |    |
             110.0465  |    40 | 4.00e+06  | D+   |    2.3846099    -     13.6511350   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).5s | 2P   |    |
             110.1291  |    90 | 3.99e+07  | D+   |    2.3846099    -     13.6426899   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).5s | 2P   |    |
             113.4165  |   360 | 1.51e+08  | B    |    0.000000     -     10.9317570   | 2s2.2p3         | 4S*  | 2s.2p4          | 4P   |    |
             113.4415  |   385 | 1.49e+08  | B    |    0.000000     -     10.9293517   | 2s2.2p3         | 4S*  | 2s.2p4          | 4P   |    |
                       |       |           |      |                                    |                 |      |                 |      |    |
             113.4980  |   410 | 1.44e+08  | B    |    0.000000     -     10.9239075   | 2s2.2p3         | 4S*  | 2s.2p4          | 4P   |    |
             114.365   |   105 |           |      |                                    |                 |      |                 |      |    |
             116.3884  |   130 | 3.25e+07  | B    |    2.3835297    -     13.0361580   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).3d | 2D   |    |
             116.4206  |    60 | 2.98e+06  | B    |    2.3835297    -     13.0332035   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).3d | 2D   |    |
             116.4325  |   105 | 2.82e+07  | B    |    2.3846099    -     13.0332035   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).3d | 2D   |    |
                       |       |           |      |                                    |                 |      |                 |      |    |
             116.7448  |   270 | 1.10e+08  | A    |    2.3835297    -     13.0036295   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).3d | 2F   |    |
             116.8334  |   105 | 1.24e+07  | B+   |    2.3846099    -     12.9966567   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).3d | 4P   |    |
             116.8417  |    60 | 3.38e+06  | A    |    2.3835297    -     12.9948279   | 2s2.2p3         | 2D*  | 2s2.2p2.(3P).3d | 2F   |    |
