
-------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                |      |                |      |    |
            108.3990  |   450 | 2.10e+08  | A    |     0.0000      -     11.43776    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
            108.4580  |   600 | 2.82e+08  | A    |     0.00604     -     11.43758    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
            108.5546  |   430 | 9.10e+07  | A    |     0.01622     -     11.43758    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
            108.5701  |   650 | 3.72e+08  | A    |     0.01622     -     11.43595    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
-------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
            Air (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                |      |                |      |    |
            209.553   |   160 | 4.20e+07  | C+   |    20.665517    -     26.580243   | 2s2.2p.3p      | 3D   | 2s2.2p.5s      | 3P*  |    |
            209.620   |    70 | 4.99e+07  | C+   |    20.646057    -     26.558897   | 2s2.2p.3p      | 3D   | 2s2.2p.5s      | 3P*  |    |
            209.686   |   110 | 3.74e+07  | C+   |    20.653591    -     26.564567   | 2s2.2p.3p      | 3D   | 2s2.2p.5s      | 3P*  |    |
            213.018   |   110 | 2.42e+07  | B    |    21.599538    -     27.418064   | 2s2.2p.3p      | 1D   | 2s2.2p.5d      | 1F*  |    |
            214.278   |   160 | 1.27e+02  | B    |     0.01622     -      5.80055    | 2s2.2p2        | 3P   | 2s.2p3         | 5S*  |    |
                      |       |           |      |                                   |                |      |                |      |    |
            220.609   |   160 | 7.04e+06  | B    |    20.409132    -     26.027476   | 2s2.2p.3p      | 1P   | 2s2.2p.4d      | 1D*  |    |
            228.669   |   160 | 2.29e+07  | C+   |    21.159915    -     26.580243   | 2s2.2p.3p      | 3P   | 2s2.2p.5s      | 3P*  |    |
            228.844   |   110 | 1.01e+07  | C+   |    21.148307    -     26.564567   | 2s2.2p.3p      | 3P   | 2s2.2p.5s      | 3P*  |    |
            231.649   |   220 | 1.75e+07  | C+   |    20.653591    -     26.004193   | 2s2.2p.3p      | 3D   | 2s2.2p.4d      | 3F*  |    |
            231.669   |   160 | 1.65e+07  | C+   |    20.646057    -     25.996218   | 2s2.2p.3p      | 3D   | 2s2.2p.4d      | 3F*  |    |
                      |       |           |      |                                   |                |      |                |      |    |
            231.705   |   285 | 1.97e+07  | C+   |    20.665517    -     26.014848   | 2s2.2p.3p      | 3D   | 2s2.2p.4d      | 3F*  |    |
