
----------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                |      |                |      |    |
           118.3031  |   500 | 5.87e+08  | B    |    18.08628    -     28.56649   | 2s.2p2         | 2P   | 2p3            | 2P*  |    |
           118.4550  |   570 |           |      |                                 |                |      |                |      |    |
           138.7371  |   150 | 4.96e+08  | B    |    30.46308    -     39.39963   | 2s2.3p         | 2P*  | 2s2.4d         | 2D   |    |
           172.9945  |   250 | 1.19e+09  | C+   |    40.95427    -     48.12122   | 2s.2p.(3P*).3d | 4F*  | 2s.2p.(3P*).4f | 4G   |    |
           174.7848  |   570 | 1.28e+08  | B    |    18.08628    -     25.17981   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
                     |       |           |      |                                 |                |      |                |      |    |
           175.1218  |   350 | 2.48e+07  | B    |    18.09993    -     25.17981   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
           175.1657  |   650 | 1.51e+08  | B    |    18.09993    -     25.17804   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
           180.4486  |   150 | 2.49e+08  | B    |    30.45863    -     37.32948   | 2s2.3p         | 2P*  | 2s2.4s         | 2S   |    |
           180.5669  |   200 | 4.96e+08  | B    |    30.46308    -     37.32948   | 2s2.3p         | 2P*  | 2s2.4s         | 2S   |    |
           184.642   |   150 | 1.10e+09  | C+   |    41.26863    -     47.98351   | 2s.2p.(3P*).3d | 4D*  | 2s.2p.(3P*).4f | 4F   |    |
                     |       |           |      |                                 |                |      |                |      |    |
           188.506   |   350 | 1.10e+09  | C+   |    33.13334    -     39.71055   | 2s2.3d         | 2D   | 2s2.4f         | 2F*  |    |
           188.522   |   400 | 1.17e+09  | C+   |    33.13403    -     39.71069   | 2s2.3d         | 2D   | 2s2.4f         | 2F*  |    |
           190.799   |   200 | 9.68e+08  | C+   |    41.47770    -     47.97611   | 2s.2p.(3P*).3d | 2D*  | 2s.2p.(3P*).4f | 2F   |    |
           191.955   |   150 | 5.13e+08  | C+   |    41.69112    -     48.15010   | 2s.2p.(3P*).3d | 4P*  | 2s.2p.(3P*).4f | 4D   |    |
           191.977   |   150 | 8.01e+08  | C+   |    41.69546    -     48.15370   | 2s.2p.(3P*).3d | 4P*  | 2s.2p.(3P*).4f | 4D   |    |
                     |       |           |      |                                 |                |      |                |      |    |
           192.065   |   300 | 9.60e+08  | C+   |    41.68434    -     48.13969   | 2s.2p.(3P*).3d | 4P*  | 2s.2p.(3P*).4f | 4D   |    |
           192.084   |   150 | 4.00e+08  | C+   |    41.69546    -     48.15010   | 2s.2p.(3P*).3d | 4P*  | 2s.2p.(3P*).4f | 4D   |    |
           192.130   |   200 | 6.71e+08  | C+   |    41.69112    -     48.14422   | 2s.2p.(3P*).3d | 4P*  | 2s.2p.(3P*).4f | 4D   |    |
----------------------------------------------------------------------------------------------------------------------------------------
