
------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
          |            Vac (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            108.3990  |   450 | 2.10e+08  | A    |     0.0000      -     11.43776    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
N II      |            108.4580  |   600 | 2.82e+08  | A    |     0.00604     -     11.43758    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
N II      |            108.5546  |   430 | 9.10e+07  | A    |     0.01622     -     11.43758    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
N II      |            108.5701  |   650 | 3.72e+08  | A    |     0.01622     -     11.43595    | 2s2.2p2        | 3P   | 2s.2p3         | 3D*  |    |
N III     |            118.3031  |   500 | 5.87e+08  | B    |    18.08628     -     28.56649    | 2s.2p2         | 2P   | 2p3            | 2P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            118.4550  |   570 |           |      |                                   |                |      |                |      |    |
N III     |            138.7371  |   150 | 4.96e+08  | B    |    30.46308     -     39.39963    | 2s2.3p         | 2P*  | 2s2.4d         | 2D   |    |
N III     |            172.9945  |   250 | 1.19e+09  | C+   |    40.95427     -     48.12122    | 2s.2p.(3P*).3d | 4F*  | 2s.2p.(3P*).4f | 4G   |    |
N III     |            174.7848  |   570 | 1.28e+08  | B    |    18.08628     -     25.17981    | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
N III     |            175.1218  |   350 | 2.48e+07  | B    |    18.09993     -     25.17981    | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            175.1657  |   650 | 1.51e+08  | B    |    18.09993     -     25.17804    | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
N III     |            180.4486  |   150 | 2.49e+08  | B    |    30.45863     -     37.32948    | 2s2.3p         | 2P*  | 2s2.4s         | 2S   |    |
N III     |            180.5669  |   200 | 4.96e+08  | B    |    30.46308     -     37.32948    | 2s2.3p         | 2P*  | 2s2.4s         | 2S   |    |
N III     |            184.642   |   150 | 1.10e+09  | C+   |    41.26863     -     47.98351    | 2s.2p.(3P*).3d | 4D*  | 2s.2p.(3P*).4f | 4F   |    |
N III     |            188.506   |   350 | 1.10e+09  | C+   |    33.13334     -     39.71055    | 2s2.3d         | 2D   | 2s2.4f         | 2F*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            188.522   |   400 | 1.17e+09  | C+   |    33.13403     -     39.71069    | 2s2.3d         | 2D   | 2s2.4f         | 2F*  |    |
N III     |            190.799   |   200 | 9.68e+08  | C+   |    41.47770     -     47.97611    | 2s.2p.(3P*).3d | 2D*  | 2s.2p.(3P*).4f | 2F   |    |
