
---------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |         Lower level         |         Upper level         |Type|
          |          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------------|-----------------------------|    |
          |           Vac (nm)  |       |           |      |                                 | Conf.                | Term | Conf.                | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N IV      |           103.616   |  150w |           |      |                                 |                      |      |                      |      |    |
N IV      |           107.871   |    90 | 1.22e+09  | B    |    53.20901    -     64.70274   | 1s2.2s.3d            | 1D   | 1s2.2s.4f            | 1F*  |    |
N III     |           118.3031  |   500 | 5.87e+08  | B    |    18.08628    -     28.56649   | 2s.2p2               | 2P   | 2p3                  | 2P*  |    |
N III     |           118.4550  |   570 |           |      |                                 |                      |      |                      |      |    |
N IV      |           118.801   |    90 | 9.49e+08  | B    |    48.21182    -     58.64816   | 1s2.2s.3s            | 1S   | 1s2.2p.(2P*<3/2>).3s | 1P*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           138.7371  |   150 | 4.96e+08  | B    |    30.46308    -     39.39963   | 2s2.3p               | 2P*  | 2s2.4d               | 2D   |    |
N IV      |           171.855   |  1000 | 2.321e+08 | A+   |    16.20398    -     23.41844   | 1s2.2s.2p            | 1P*  | 1s2.2p2              | 1D   |    |
N III     |           172.9945  |   250 | 1.19e+09  | C+   |    40.95427    -     48.12122   | 2s.2p.(3P*).3d       | 4F*  | 2s.2p.(3P*).4f       | 4G   |    |
N III     |           174.7848  |   570 | 1.28e+08  | B    |    18.08628    -     25.17981   | 2s.2p2               | 2P   | 2p3                  | 2D*  |    |
N III     |           175.1218  |   350 | 2.48e+07  | B    |    18.09993    -     25.17981   | 2s.2p2               | 2P   | 2p3                  | 2D*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           175.1657  |   650 | 1.51e+08  | B    |    18.09993    -     25.17804   | 2s.2p2               | 2P   | 2p3                  | 2D*  |    |
N III     |           180.4486  |   150 | 2.49e+08  | B    |    30.45863    -     37.32948   | 2s2.3p               | 2P*  | 2s2.4s               | 2S   |    |
N III     |           180.5669  |   200 | 4.96e+08  | B    |    30.46308    -     37.32948   | 2s2.3p               | 2P*  | 2s2.4s               | 2S   |    |
N III     |           184.642   |   150 | 1.10e+09  | C+   |    41.26863    -     47.98351   | 2s.2p.(3P*).3d       | 4D*  | 2s.2p.(3P*).4f       | 4F   |    |
N III     |           188.506   |   350 | 1.10e+09  | C+   |    33.13334    -     39.71055   | 2s2.3d               | 2D   | 2s2.4f               | 2F*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           188.522   |   400 | 1.17e+09  | C+   |    33.13403    -     39.71069   | 2s2.3d               | 2D   | 2s2.4f               | 2F*  |    |
N III     |           190.799   |   200 | 9.68e+08  | C+   |    41.47770    -     47.97611   | 2s.2p.(3P*).3d       | 2D*  | 2s.2p.(3P*).4f       | 2F   |    |
